Sentence,Label
SOMETIMES it feels as if there is a red state-blue state divide when it comes to hedge funds.,Distant_Evaluation
"Some people believe that if permitted to remain free from the shackles of dangerous government oversight, hedge funds can help solve problems from underfunded pensions to inept corporate management.",Distant_Expectations_Consequences
This group tends to include hedge fund employees and hedge fund investors.,Distant_Evaluation
Others believe that hedge funds are sinister forces that capitalize on superior information -- possibly obtained illegally -- and are hell-bent on pillaging the financial system to corner the market on luxury cars and palatial real estate.,Distant_Evaluation
This group includes much of the news media and the Connecticut attorney general.,Distant_Evaluation
Yet hedge funds are neither saviors nor Satan.,Distant_Evaluation
"There are more than 9,000 funds that vary greatly in the kinds of investments they make, returns they seek and strategies they employ.",Cause_General
One of the few things they have in common -- other than gigantic paychecks when their returns are good -- is that the funds have become a more accepted fixture in the financial landscape.,Main
"A number of recent studies show that hedge fund investors are satisfied with the performance of their investments, even if that performance appears on paper to be less than stellar.",Cause_General
Widespread demand for risk-adjusted returns of 8 to 10 percent ensures that the money spigot will stay turned on.,Distant_Expectations_Consequences
(Risk adjusted means that the portfolio is hedged.,Cause_General
"If the market slumps, the fund's returns should not.)",Cause_General
"For example, the top performers of the 2007 Commonfund Benchmarks Study of Educational Endowments, a survey of college, university and other educational endowments and foundations in the United States, were almost 50 percent invested in ''alternatives'' -- hedge funds, private equity, real estate, distressed debt, energy and natural resources and venture capital.",Cause_General
Hedge funds constituted the largest portion -- 44 to 70 percent -- of the alternatives category.,Cause_General
"Average returns for the foundations and endowments that responded to the survey were 10.6 percent, while the leaders posted returns of more than 16.8 percent.",Cause_General
"The top 10 percent of performers among the endowments allocated 49 percent of their money to alternatives, compared with 11 percent for fixed income, 18 percent for domestic equity and 21 percent for international equity.",Cause_General
"The top quartile of performers also show a heavy weighting to alternatives: 46 percent, compared with 11 percent for fixed income, 20 percent for international equity and 21 percent for domestic equity.",Cause_General
"Even though hedge funds represented the bulk of investment dollars, their returns were lackluster.",Distant_Evaluation
"In 2006, the Standard & Poor's 500-stock index had a total return, when dividends were reinvested, of 15.8 percent.",Distant_Historical
Overall returns for alternatives averaged 14.6 percent.,Distant_Historical
"Energy and natural resources produced a stunning return of 40 percent; distressed debt, 26 percent; and private equity, 19 percent.",Distant_Historical
Hedge funds turned out only 10.6 percent.,Distant_Historical
But investors did not seem to be bothered.,Distant_Evaluation
"''It was nice to see hedge funds were doing what they are supposed to do,'' said John S. Griswold Jr. executive director of the Commonfund Institute, a research organization dedicated to educating the nonprofit community about investing.",Distant_Evaluation
