id,text,label,Comments
977,قاتل احدا ذاهبا الى الحرب وحريه القرار اللبناني محترمه,assumption,
978,وفي معرض حديثه الوضع الخاص الجنوب اكد توينيان اللبنانيين ضد وجود المقاومه الفلسطينيه ونحن متضامنون معهم انما الارض اللبنانيه مقدسه بالنسبه الينا تماما ارضهم مقدسه بالنسبه اليهم ولسنا استعداد لنضيع اي شبر ارض,testimony,
979,المقاومه قضيتها المقدسه السباده اللبنانيه الكاهله,assumption,
980,ارضنا وكهانكن نساعدهم تاكيد حريه القرار الفلسطيبني ننتظر ونريد ان تؤكد حريه القرار اللبناني وراى الدوله المحترمه يجب ان تكون استراتيجيه مدركه تتكيف مع الاحداث,assumption,
981,صمود وتجمع الى الصمود وعي العباء يستطيع لبنان عموما وجنوبه خصوصا ان يتحمله,assumption,
982,واعتقد ان الثوره الفلسطينيه والقوى الوطنيه يمكن ان تفرط قيد شعره بهذا المعقل الحصين واضاف تحتاجه اسرائيل لذلك تدعو الى ان تترسخ وتنمو مقاومه وطنيه لبنانبه شامله للخطر الصهيوني يتجدد الجنوب فتصبح المقاومه الفلسطينيه قوه دعم لهويه الجنوب,assumption,
983,يبقى مجرد راقعه للثوره الفلسطينيه بكل مساهمه رسميه تريد ان تدعم جنوبا مقاوما وطنيا قادرا الصمود وجه اسرائيل لان لا بديل للمواجهه الشامله للتعاطي قضيه الجنوب,assumption,
984,القيادات نجاح الاجتماع تدعي اليه لجنه التوصل الى نيل الصعوبات تعترض تشكيل هيئه الرقابه بتفاهم لبناني سوري فهذه الظروف يظهر فيها خطر قيام اسرائيل باعتداء الجنوب وعلى المقاومه الفلسطينيه,assumption,not sure about this
985,الصعب من غير المقبول تطبيق صلاحيات هيئه الرقابه بمنع الاسلحه المقاومه,assumption,
986,ان السعوديه والكويت مستعدين لحضور اجتماع لجنه المتابعه يكن مجدي,common-ground,
987,ارضا وشعبا ويحقق التضامن اللبناني الفلسطيني ويكفل حمايه الثوره الفلسطينيه وتعزيز دورها النضالي ضد العدو الصهبوني,assumption,
988,ناقش الجانبان التهديدات الاسرائيليه للبنان والتي تاتي اطار اطماع اسرائيل الاراضي اللبنانيه وتصفيه المقاومه الفلسطينيه وبالتالي تحقيق حلقه جديده مخططاتها العدو,anecdote,
989,واكد الجانبان وقوفهما لبنان بكل امكاناتهما لمواجهه المخططات الاسرائيليه اكدا انهما سيعملان تعزيز وحده القوتين الثوره وجمايه الجنوب للصمود مواجهه العدوان الاسرائيلي,testimony,
990,عدم الانسحاب الجنوب الا التاكد وصول رئيس للجمهوريه في لبنان مستعد للدخول مثل المفاوضات والقبول بتوطين الفلسطينيين لبنان ضبط وجودهم المسلح وهذا يمكن تحقيقه طريق اقامه دوله قويه قادره وسلطه مركزيه فاعله,assumption,
991,لذلك فان تهديدات اسرائيل بضرب المقاومه الفلسطينيه بحجه انها تخرق وقف النار تسمح بخرقه الجنوب مكان العالم تستهدف المقاومه بقدر تستهدف الجنوب نفسه تحقيقا لاهدافها وهي تهديدات ستنفذها الوقت المناسب حاجاتها الخاصه,assumption,
992,في بيروت الغربيه,other,
993,وقال عندما بدات المقاومه الفلسطينيه بالممارسات الناشطه وبالتجاوزات وقفنا المظلومين والان نرفض مثل التجاوزات ونرفض عوده المقاومه الفلسطينيه التي كانت عليه قبل الاجتياح الاسرائيلي للبنان,testimony,
994,واشاد بمقاومه الجنوبيين للاحتلال الاسرائيلي مشيرا الى ان المقاومه الجنوب اسلاميه لانقاذها العلماء,testimony,
995,وهم يعرفون ذكرتم تتمكن فرنسا ان تلعب دور الوسيط لان هذه القضيه معنى وانه يمكن الحل ان يكون وسيطا,assumption,
996,وابدى رايه الجيش اللبناني وفي الذين يؤيدون مواقفه يتعلم ان الجيش يرتكز نظريه صحيحه وعقيده صالحه الى تغيير تنظيمهم وبما انه موجود لذلك نعتمد على الجيش اسود الضاحيه الجنوبيه والجبل وتعلم بذلك جيدا يخص مواقف الاشخاص وتاييدهم لهذا الجيش فنحن نرفض ان الحل السياسي واضح,testimony,
997,اعلن لبنان حل عادل وقد مال المسلمين واعرب معارضته عوده المقاومه الفلسطينيه الى العاصمه اللبنانيه,testimony,
998,اهم الضربات الجريئه والعنيفه يوجهها مقاتلو المقاومه اللبنانيه ومقاتلو الثوره الفلسطينيه الى جنود العدو جنوب لبنان,anecdote,
999,تهاجم الثوره احضان الرئيس حسني مبارك لملك الحسين الرئيس صدام حسين وتضع يدها يد الصهاينه وتحلم بالاتفاق حكومه شمعون ببريز,assumption,
1000,ولماذا منطقه اخري,other,
1001,ضفه غربيه فتضع اسرائيل حدودها الليطاني وتمنع الدخول والخروج امل تضع بذلك حدا للمقاومه الوطنيه اللبنانيه وتحصرها او تحاصرها,assumption,
1002,وضعت حدا حسب اعتقادها للمقاومه الفلسطينيه المنطلقه الجنوب عندما قامت بعمليتها العسكريه تحت اسم سلامه الجليل,assumption,
1003,ولكي لا تتذرع اسرائيل بعوده المقاومه الفلسطينيه الى الجنوب انسحابها لان يعني عوده الوضع الى كان قبل الاجتياح فقد طلب لبنان القيادات الفلسطينيه الدول العربيه تاثير القيادات ان توقف نشاط عسكري لبنان وعبر حدوده اسرائيل لانها تكون بذلك اعطت ذريعه تبرر بقاء احتلاله اجزاء الجنوب بحجه حمايه امن حدودها الشماليه,assumption,
1004,طلب الكف نقول المقاومه الفلسطينيه تشترك المقاومه الوطنيه اللبنانيه تنفيذ عمليات ضد القوات الاسرائيليه الجنوب,common-ground,
1005,صرح اخيرا ياسر عرفات مؤكدا العزم تصعيد العمليات الفدائيه داخل الارض المحتله جنوب لبنان,testimony,
