id,text,label,Comments
4393,قاتل احدا ذاهبا الى الحرب وحريه القرار اللبناني محترمه,Not Speech,
4394,وفي معرض حديثه الوضع الخاص الجنوب اكد توينيان اللبنانيين ضد وجود المقاومه الفلسطينيه ونحن متضامنون معهم انما الارض اللبنانيه مقدسه بالنسبه الينا تماما ارضهم مقدسه بالنسبه اليهم ولسنا استعداد لنضيع اي شبر ارض,Speech,
4395,المقاومه قضيتها المقدسه السباده اللبنانيه الكاهله,Not Speech,
4396,ارضنا وكهانكن نساعدهم تاكيد حريه القرار الفلسطيبني ننتظر ونريد ان تؤكد حريه القرار اللبناني وراى الدوله المحترمه يجب ان تكون استراتيجيه مدركه تتكيف مع الاحداث,Speech,
4397,صمود وتجمع الى الصمود وعي العباء يستطيع لبنان عموما وجنوبه خصوصا ان يتحمله,Not Speech,
4398,واعتقد ان الثوره الفلسطينيه والقوى الوطنيه يمكن ان تفرط قيد شعره بهذا المعقل الحصين واضاف تحتاجه اسرائيل لذلك تدعو الى ان تترسخ وتنمو مقاومه وطنيه لبنانبه شامله للخطر الصهيوني يتجدد الجنوب فتصبح المقاومه الفلسطينيه قوه دعم لهويه الجنوب,Speech,
4399,يبقى مجرد راقعه للثوره الفلسطينيه بكل مساهمه رسميه تريد ان تدعم جنوبا مقاوما وطنيا قادرا الصمود وجه اسرائيل لان لا بديل للمواجهه الشامله للتعاطي قضيه الجنوب,Not Speech,
4400,القيادات نجاح الاجتماع تدعي اليه لجنه التوصل الى نيل الصعوبات تعترض تشكيل هيئه الرقابه بتفاهم لبناني سوري فهذه الظروف يظهر فيها خطر قيام اسرائيل باعتداء الجنوب وعلى المقاومه الفلسطينيه,Not Speech,
4401,الصعب من غير المقبول تطبيق صلاحيات هيئه الرقابه بمنع الاسلحه المقاومه,Not Speech,
4402,ان السعوديه والكويت مستعدين لحضور اجتماع لجنه المتابعه يكن مجدي,Not Speech,
4403,ارضا وشعبا ويحقق التضامن اللبناني الفلسطيني ويكفل حمايه الثوره الفلسطينيه وتعزيز دورها النضالي ضد العدو الصهبوني,Not Speech,
4404,ناقش الجانبان التهديدات الاسرائيليه للبنان والتي تاتي اطار اطماع اسرائيل الاراضي اللبنانيه وتصفيه المقاومه الفلسطينيه وبالتالي تحقيق حلقه جديده مخططاتها العدو,Not Speech,not sure about this
