Sentence,Label,active,euphimism,details,exaggeration,bragging,litote,repetition,metaphor,he said,apparent denial,apparent concession,blame transfer,other kinds,opinion,irony
"On Thursday, the so-called London Conference on Afghanistan will convene .",anecdote,,,,,,,,,,,,,,,
"Of all the high-profile international conferences that have been held on Afghanistan over the years - in Bonn, Tokyo, and Istanbul - this comes at a crucial juncture .",assumption,,,,,,,,,,,,,,,
"At the end of October, British forces lowered the flag at Camp Bastion - from where they had engaged in the most intense fighting the British army had seen since the Falklands War - and handed over the base to Afghan forces .",anecdote,,,,,,,,,,,,,,,
"Just over a month later, the Taliban mounted a 14-hour attack on the very same site , killing six Afghan soldiers .",anecdote,,,,,,,,,,,,,,,
"To the north, in the capital Kabul, insurgents have pulled off a dozen attacks in the space of the last few weeks , striking at diplomats, NGOs, and US contractors .",anecdote,,,,,,,,,,,,,,,
"What explains this spate of violence, and is it a portent for the future of Afghanistan?  The International Security Assistance Force (ISAF), a US-led group that includes NATO members and others , winds up its mission on New Year's Eve .",anecdote,,,,,,,,,,,,,,,
"A slimmed-down force of 12,000 foreign troops - mostly American - will stay behind , and US President Barack Obama has authorised the US contingent to continue supporting Afghan National Security Forces (ANSF) throughout 2015 , with all of these forces scheduled to leave by the end of 2016 .",anecdote,,,,,,,,,,,,,,,
"The US is not, therefore , leaving Afghanistan in the abrupt manner than it left Iraq in 2011 .",assumption,,,,,,,,,,,,,,,
But this is a time of dramatic change .,assumption,,,,,,,,,,,,,,,
Drastic effects on casualties .,no-unit,,,,,,,,,,,,,,,
"For one thing ,  the ANSF are doing much of the fighting themselves, with drastic effects on casualties : over 9,000 Afghan troops have died since 2013, four times greater than the entire American death toll since 2001 .",statistics,,,,,,,,,,,,,,,
"Afghan police officers are suffering especially badly, with thousands being killed every month .",statistics,,,,,,,,,,,,,,,
"At the political level, a new government of national unity, led by President Ashraf Ghani and Chief Executive Abdullah Abdullah, has taken charge after Hamid Karzai's departure .",anecdote,,,,,,,,,,,,,,,
"Ghani is already reported to have opened backchannel talks with the Taliban , visiting both Pakistan and Beijing to seek their help in this effort , cancelling an earlier arms request from India, and even making a highly unorthodox visit to Pakistan's army headquarters , in recognition of Pakistan's long-standing support for the insurgents .",anecdote,,,,,,,,,,,,,,,
"On the ground, the overall picture is mixed .",assumption,,,,,,,,,,,,,,,
