Sentence,Label,active,euphimism,details,exaggeration,bragging,litote,repetition,metaphor,he said,apparent denial,apparent concession,blame transfer,other kinds,opinion,irony
"If there were an award for scummiest business practice , refusing to pay interns would get many a vote .",assumption,,,,,,,,,,,,,,,
"But Jan Mortier , who until a year ago ran a ""junior associates"" programme through his thinktank Civitatis International , has upped the stakes by charging former interns (or trainees , as he prefers to think of them) a ? 300 fee for an employment reference .",anecdote,,,,,,,,,,,,,,,
Is charging someone for a reference after refusing to pay them as scummy as it gets? Sadly not .,assumption,,,,,,,,,,,,,,,
"Young people are lucky if unpaid work is the worst deal they are offered : although the ""junior associates"" programme was advertised on Internwise , the three-month programme cost more than ? 1,600 .",assumption,,,,,,,,,,,,,,,
"(Mortier insists it was a training course, not an internship .) And the winner is  ...  But how on Earth did Mortier think he could get away with charging for references , never mind the extortionate fee of ? 300? His market is ambitious but terrified young people who are overqualified and unemployed - and there is easy money to be made from them, for three reasons .",assumption,,,,,,,,,,,,,,,
"First ,  they've been sent the message that they're of little value to the economy .",assumption,,,,,,,,,,,,,,,
Government and businesses have spent the entire economic crisis suggesting that young people lack employable skills .,assumption,,,,,,,,,,,,,,,
Repeated references to these elusive skills rarely lead to any kind of specific mention of what they are - or an investigation into why schools and universities stopped teaching them just as the economy collapsed .,assumption,,,,,,,,,,,,,,,
"If you've spent your life in education only to be called unemployable , the idea that you'd have to pay someone to say nice things about you doesn't seem so far-fetched .",assumption,,,,,,,,,,,,,,,
"Second , while young people as a group tend not to have much money sloshing around , their parents and grandparents are supposedly doing OK .",assumption,,,,,,,,,,,,,,,
People wanting what's best for their kids leads easily to the coughing-up of cash .,assumption,,,,,,,,,,,,,,,
"Third , when it comes to looking for a job , young people are so used to mounting hindrances that you can stick on another like an extra bottle on a drunk's bar tab .",assumption,,,,,,,,,,,,,,,
"Legend has it that people used to get a job by seeing one they wanted , and applying ; then came the time when they needed qualifications to get the same job ; then they needed better qualifications ; then they would have to do an unpaid internship ; then to prove it wasn't all a fluke they'd have to get qualifications and do an internship .",assumption,,,,,,,,,,,,,,,
"Now ,  Civitatis would have you believe that if you attend its summer school you ""will gain the advantage over others for internship (sic)"" .",testimony,,,,,,,,,,,,,,,
"So, 300 for a reference? Stick it on the bill .",other,,,,,,,,,,,,,,,
But the damage caused by charging for references isn't limited to the spineless gouging of money from naive young people trying to get their first job .,assumption,,,,,,,,,,,,,,,
A reference is immediately invalid once money changes hands .,assumption,,,,,,,,,,,,,,,
The value of a reference lies in the assumption that it's an honest comment on a person's job performance or character .,common-ground,,,,,,,,,,,,,,,
"The price tag Mortier has attached isn't , as he claims, a ""fair administrative fee"" .",assumption,,,,,,,,,,,,,,,
"It's enough to make a pocket bulge, and certainly enough to be considered a bribe : no one pays ? 300 to be damned with faint praise .",assumption,,,,,,,,,,,,,,,
"Anyone reading a reference signed by Mortier knows he's been paid hundreds for whatever he's written , so it will ring hollow .",assumption,,,,,,,,,,,,,,,
Getting a job with worthless education and months-long application processes is already hard enough .,assumption,,,,,,,,,,,,,,,
"If this idea catches on , references as a measure of a potential candidate will be as devalued as our degrees .",assumption,,,,,,,,,,,,,,,
"If this idea catches on , references as a measure of a potential candidate will be as devalued as our degrees .",assumption,,,,,,,,,,,,,,,
"On Monday afternoon, Senator Dianne Feinstein released a letter to Barack Obama , suggesting a series of reforms ""to make sure that the United States never again engages in actions that you have acknowledged were torture"" .",anecdote,,,,,,,,,,,,,,,
"A month after her office released the landmark (but still heavily redacted) Senate torture report , Feinstein is now calling for legislation to strengthen the prohibition against torture .",anecdote,,,,,,,,,,,,,,,
"This is a laudable and necessary step , but torture has been a felony for decades .",assumption,,,,,,,,,,,,,,,
"So have war crimes, lying to Congress and obstruction of justice .",common-ground,,,,,,,,,,,,,,,
The fundamental problem is that the US government has been unable or unwilling to enforce those laws against the CIA .,assumption,,,,,,,,,,,,,,,
"If reform does not confront the reasons for that failure , it may not deter the United States from engaging in torture under a future president .",assumption,,,,,,,,,,,,,,,
