category,sub-category
Disbanded armies,Category:Army of the Habsburg Monarchy
,Category:Army of the Holy Roman Empire
,Category:Austro-Hungarian Army
,Category:Confederate States Army
,Category:Continental Army
,Category:English Army
,Category:Former armies by country
,Category:German Army (1935–1945)
,Category:German Army (German Empire)
,Category:La Grande Armée
,Category:Imperial Japanese Army
,Category:Land Forces of the National People's Army
,Category:National Revolutionary Army
,Category:Prussian Army
,Category:Royal Yugoslav Army
,Category:Scottish Army
,Category:South West Africa Territorial Force
,Category:Soviet Army
,Category:Army of the Republic of Texas
Armoured fighting vehicles of South Vietnam,
Films set in Berlin,Category:Films about the Battle of Berlin
,Category:Documentary films about Berlin
,Category:Films about the Berlin Wall
Articles needing additional references from October 2010,
Use dmy dates from November 2020,
CS1 Spanish-language sources (es),
Articles with disputed statements from December 2012,
Articles with disputed statements from December 2013,
Lebanese factions allied with Israel,
All articles needing coordinates,
Articles with LCCN identifiers,
Articles with French-language sources (fr),
2005 films,Category:2005 directorial debut films
,Category:Lists of 2005 films by country or language
,Category:2005 television films
,Category:2005 action films
,Category:2005 animated films
,Category:2005 comedy films
,Category:2005 direct-to-video films
,Category:2005 documentary films
,Category:2005 drama films
,Category:2005 fantasy films
,Category:2005 horror films
,Category:2005 independent films
,Category:2005 LGBT-related films
,Category:2005 martial arts films
,Category:2005 science fiction films
,Category:2005 short films
,Category:Star Wars: Episode III – Revenge of the Sith
,Category:2005 thriller films
,Category:2005 Western (genre) films
Pages using the Kartographer extension,
Armoured personnel carriers of Germany,
Bilateral relations of Lebanon,Category:Bilateral military relations of Lebanon
,Category:Afghanistan–Lebanon relations
,Category:Albania–Lebanon relations
,Category:Algeria–Lebanon relations
,Category:Argentina–Lebanon relations
,Category:Armenia–Lebanon relations
,Category:Australia–Lebanon relations
,Category:Austria–Lebanon relations
,Category:Bahrain–Lebanon relations
,Category:Bangladesh–Lebanon relations
,Category:Belgium–Lebanon relations
,Category:Belize–Lebanon relations
,Category:Bolivia–Lebanon relations
,Category:Brazil–Lebanon relations
,Category:Bulgaria–Lebanon relations
,Category:Cameroon–Lebanon relations
,Category:Canada–Lebanon relations
,Category:Chile–Lebanon relations
,Category:China–Lebanon relations
,Category:Colombia–Lebanon relations
,Category:Cuba–Lebanon relations
,Category:Cyprus–Lebanon relations
,Category:Denmark–Lebanon relations
,Category:Egypt–Lebanon relations
,Category:Ethiopia–Lebanon relations
,Category:Lebanon–European Union relations
,Category:Fiji–Lebanon relations
,Category:Finland–Lebanon relations
,Category:France–Lebanon relations
,Category:Gabon–Lebanon relations
,Category:Germany–Lebanon relations
,Category:Greece–Lebanon relations
,Category:Guatemala–Lebanon relations
,Category:Guinea–Lebanon relations
,Category:Guinea-Bissau–Lebanon relations
,Category:Haiti–Lebanon relations
,Category:Holy See–Lebanon relations
,Category:Hungary–Lebanon relations
,Category:India–Lebanon relations
,Category:Indonesia–Lebanon relations
,Category:Iran–Lebanon relations
,Category:Iraq–Lebanon relations
,Category:Israel–Lebanon relations
,Category:Italy–Lebanon relations
,Category:Ivory Coast–Lebanon relations
,Category:Jamaica–Lebanon relations
,Category:Japan–Lebanon relations
,Category:Jordan–Lebanon relations
,Category:Kuwait–Lebanon relations
,Category:Lebanon–Liberia relations
,Category:Lebanon–Libya relations
,Category:Lebanon–Lithuania relations
,Category:Lebanon–Madagascar relations
,Category:Lebanon–Malaysia relations
,Category:Lebanon–Mali relations
,Category:Lebanon–Mauritania relations
,Category:Lebanon–Mexico relations
,Category:Lebanon–Morocco relations
,Category:Lebanon–Myanmar relations
,Category:Lebanon–Netherlands relations
,Category:Lebanon–New Zealand relations
,Category:Lebanon–Nigeria relations
,Category:Lebanon–Norway relations
,Category:Lebanon–Oman relations
,Category:Lebanon–Pakistan relations
,Category:Lebanon–State of Palestine relations
,Category:Lebanon–Paraguay relations
,Category:Lebanon–Peru relations
,Category:Lebanon–Philippines relations
,Category:Lebanon–Poland relations
,Category:Lebanon–Qatar relations
,Category:Lebanon–Romania relations
,Category:Lebanon–Russia relations
,Category:Lebanon–Saint Vincent and the Grenadines relations
,Category:Lebanon–Saudi Arabia relations
,Category:Lebanon–Senegal relations
,Category:Lebanon–Serbia relations
,Category:Lebanon–Sierra Leone relations
,Category:Lebanon–Singapore relations
,Category:Lebanon–Slovakia relations
,Category:Lebanon–South Africa relations
,Category:Lebanon–Soviet Union relations
,Category:Lebanon–Spain relations
,Category:Lebanon–Sweden relations
,Category:Lebanon–Switzerland relations
,Category:Lebanon–Syria relations
,Category:Lebanon–Taiwan relations
,Category:Lebanon–Thailand relations
,Category:Lebanon–Togo relations
,Category:Lebanon–Trinidad and Tobago relations
,Category:Lebanon–Tunisia relations
,Category:Lebanon–Turkey relations
,Category:Lebanon–Ukraine relations
,Category:Lebanon–United Arab Emirates relations
,Category:Lebanon–United Kingdom relations
,Category:Lebanon–United States relations
,Category:Lebanon–Uruguay relations
,Category:Lebanon–Venezuela relations
,Category:Lebanon–West Germany relations
,Category:Lebanon–Yemen relations
,Category:Lebanon–Yugoslavia relations
Military history of Italy,Category:Military history of Italy during the Second Italo-Ethiopian War
,Category:Military history of ancient Rome
,Category:Military history of Italy during World War I
,Category:17th-century military history of Italy
,Category:18th-century military history of Italy
,Category:Battles in Abruzzo
,Category:Battles in Apulia
,Category:Battles in Calabria
,Category:Battles in Campania
,Category:Battles in Emilia-Romagna
,Category:Battles in Friuli-Venezia Giulia
,Category:Battles in Lazio
,Category:Battles in Liguria
,Category:Battles in Lombardy
,Category:Battles in Marche
,Category:Battles in Molise
,Category:Battles in Piedmont
,Category:Battles in Sardinia
,Category:Battles in Sicily
,Category:Battles in Trentino-Alto Adige/Südtirol
,Category:Battles in Tuscany
,Category:Battles in Umbria
,Category:Battles in Veneto
,Category:Cold War military history of Italy
,Category:Forts in Italy
,Category:Invasions by Italy
,Category:Invasions of Italy
,Category:Italian concentration camps
,Category:Italian military occupations
,Category:Italian unification
,Category:Italian Wars
,Category:Military alliances involving Italy
,Category:Military of the Kingdom of Sardinia
,Category:Military of the Kingdom of the Two Sicilies
,Category:Military operations involving Italy
,Category:Military units and formations of Italy in the Spanish Civil War
,Category:Military and war museums in Italy
,Category:Military history of Naples
,Category:Naval history of Italy
,Category:Peace treaties of Italy
,Category:Italian people by war
,Category:Rab concentration camp
,Category:Military history of Rome
,Category:Royal Italian Army
,Category:Military history of Sicily
,Category:Military history of the Republic of Venice
,Category:Military history of Italy during World War II
Articles with unsourced statements from August 2011,
Wikipedia articles needing factual verification from September 2021,
2008 introductions,Category:2008 neologisms
,Category:Amusement park attractions introduced in 2008
,Category:Audiovisual introductions in 2008
,Category:Computer-related introductions in 2008
,Category:Fictional characters introduced in 2008
,Category:Flags introduced in 2008
,Category:Games and sports introduced in 2008
,Category:Internet memes introduced in 2008
,Category:Mass media franchises introduced in 2008
,Category:Products introduced in 2008
,Category:Projects established in 2008
,Category:Symbols introduced in 2008
,Category:Telecommunications-related introductions in 2008
,Category:Train-related introductions in 2008
,Category:Typefaces and fonts introduced in 2008
,Category:Vehicles introduced in 2008
,Category:Weapons and ammunition introduced in 2008
1970s conflicts,Category:Angolan War of Independence
,Category:Basque conflict
,Category:1970s battles
,Category:Conflicts in 1970
,Category:Conflicts in 1971
,Category:Conflicts in 1972
,Category:Conflicts in 1973
,Category:Conflicts in 1974
,Category:Conflicts in 1975
,Category:Conflicts in 1976
,Category:Conflicts in 1977
,Category:Conflicts in 1978
,Category:Conflicts in 1979
,Category:1970s coups d'état and coup attempts
,Category:Ethiopian Civil War
,Category:Insurgency in Northeast India
,Category:1970s labor disputes and strikes
,Category:Lebanese Civil War
,Category:Mozambican War of Independence
,Category:Naxalite–Maoist insurgency
,Category:Papua conflict
,Category:Portuguese Colonial War
,Category:Rhodesian Bush War
,Category:1970s riots
,Category:South African Border War
,Category:Soviet–Afghan War
,Category:The Troubles (Northern Ireland)
,Category:Third Indochina War
,Category:Vietnam War
,Category:Years of Lead (Italy)
2000 in Israel,Category:2000 disestablishments in Israel
,Category:2000 establishments in Israel
,Category:2000 in Israeli politics
,Category:2000 in Israeli sport
,Category:2000 in Israeli television
Iran–Israel military relations,Category:Arab–Israeli alliance against Iran
,Category:Iran–Israel proxy conflict
Pages using Sister project links with default search,
Anti-ISIL factions in Iraq,Category:Asa'ib Ahl al-Haq
,Category:Badr Organization
,Category:Hezbollah
,Category:Islamic Revolutionary Guard Corps
,Category:Kurdistan Workers' Party
,Category:Popular Mobilization Forces
,Category:Quds Force
,Category:Sinjar Alliance
Jihadist groups,Category:Activities by jihadist groups
,Category:Members of jihadist groups
,Category:Jihadist groups by country
,Category:Jihadist groups in the Arab world
,Category:Boko Haram
,Category:Caucasian Front (militant group)
,Category:Caucasus Emirate
,Category:Factions of the Islamic State of Iraq and the Levant
,Category:Groups affiliated with al-Qaeda
,Category:Hofstad Network
,Category:Jemaah Islamiyah
,Category:Jundallah (Iran)
Articles with specifically marked weasel-worded phrases from December 2020,
Economy of the Arab League,Category:Arab businesspeople
,Category:Economy of Algeria
,Category:Economy of Bahrain
,Category:Economy of the Comoros
,Category:Economy of Djibouti
,Category:Economy of Egypt
,Category:Economy of Iraq
,Category:Economy of Jordan
,Category:Economy of Kuwait
,Category:Economy of Lebanon
,Category:Economy of Libya
,Category:Economy of Mauritania
,Category:Economy of Morocco
,Category:Economy of Oman
,Category:Economy of the State of Palestine
,Category:Ports and harbours of the Arab League
,Category:Economy of Qatar
,Category:Economy of Saudi Arabia
