category,sub-category
Jewish military personnel,Category:German Jewish military personnel
,Category:Jewish American military personnel
,Category:Jewish Brigade personnel
,Category:Maccabees
,Category:Rabbis in the military
,Category:Jewish resistance members during the Holocaust
,Category:Russian Jews in the military
,Category:Soviet Jews in the military
Articles with unsourced statements from August 2020,
Wars involving Hezbollah,Category:Battles involving Hezbollah
,Category:2006 Lebanon War
Films scored by Antônio Pinto,
Articles with BNF identifiers,
Films set in the 2000s,Category:Films set in 2000
,Category:Films set in 2001
,Category:Films set in 2002
,Category:Films set in 2003
,Category:Films set in 2004
,Category:Films set in 2005
,Category:Films set in 2006
,Category:Films set in 2007
,Category:Films set in 2008
,Category:Films set in 2009
,Category:Chechen wars films
,Category:Films set in the Great Recession
,Category:Iraq War films
,Category:Nagorno-Karabakh War films
,Category:Ratatouille (film)
,Category:War in Afghanistan (2001–2021) films
Articles with dead external links from March 2017,
United States Marine Corps in the 20th century,Category:1998 United States embassy bombings
,Category:Battle of Pusan Perimeter
,Category:Iran hostage crisis
,Category:United States Marine Corps units and formations in the Korean War
,Category:1992 Los Angeles riots
,Category:Military units and formations of the United States in the Banana Wars
,Category:Occupied Japan
,Category:United States invasion of Panama
,Category:United States Marine Corps in the Vietnam War
,Category:United States Marine Corps in World War II
Central Command (Israel),
Jewish Lebanese history,Category:Antisemitism in Lebanon
,Category:Israel–Lebanon relations
,Category:Lebanese-Jewish diaspora
Orphaned articles from August 2021,
1948 in Egypt,Category:1948 disestablishments in Egypt
,Category:1948 establishments in Egypt
,Category:1948 Arab–Israeli War
,Category:1948 in All-Palestine (Gaza)
,Category:1948 crimes in Egypt
,Category:1948 in Egyptian sport
,Category:1948 in Sudan
Use dmy dates from May 2021,
Wikipedia articles needing clarification from April 2019,
2006 Lebanon War,Category:Battles of the 2006 Lebanon War
Lebanon–Syria relations,Category:Syrian expatriates in Lebanon
,Category:Ambassadors of Syria to Lebanon
,Category:Lebanon–Syria border
,Category:Lebanese anti-Syrian activists
,Category:Lebanese expatriates in Syria
,Category:Lebanese people of Syrian descent
,Category:Lebanon's role in the Syrian civil war
,Category:Syrian civil war spillover in Lebanon
,Category:Syrian people of Lebanese descent
Kataeb Party,Category:Kataeb Party politicians
Articles with specifically marked weasel-worded phrases from January 2010,
Articles needing additional references from April 2020,
2005 crime thriller films,
Articles with dead external links from July 2016,
1948 establishments in Israel,Category:El Al
,Category:Israel Defense Forces
Organizations designated as terrorist by Bahrain,Category:Boko Haram
,Category:Islamic Revolutionary Guard Corps
,Category:Al-Nusra Front
Religion in Lebanon,Category:Lebanese people by religion
,Category:Lebanese religious leaders
,Category:Lebanon religion-related lists
,Category:Religion in Beirut
,Category:Christianity in Lebanon
,Category:Druze in Lebanon
,Category:Islam in Lebanon
,Category:Jews and Judaism in Lebanon
,Category:Religious organisations based in Lebanon
,Category:Religious buildings and structures in Lebanon
,Category:Secularism in Lebanon
,Category:Religiously motivated violence in Lebanon
1947 in Mandatory Palestine,Category:1947 disestablishments in Mandatory Palestine
,Category:1947 establishments in Mandatory Palestine
,Category:1947–1948 civil war in Mandatory Palestine
,Category:1946–47 in Mandatory Palestine football
,Category:1947–48 in Mandatory Palestine football
French emigrants to Israel,
Articles with dead external links from July 2021,
Factions in the Lebanese Civil War,Category:Amal Movement
,Category:Armenian Secret Army for the Liberation of Armenia
,Category:Hezbollah
,Category:Kataeb Party
,Category:Lebanese Communist Party
,Category:Lebanese factions allied with Israel
,Category:Lebanese Front
,Category:Lebanese National Movement
,Category:Lebanese National Resistance Front
,Category:Palestine Liberation Organization
,Category:Progressive Socialist Party
,Category:Syrian Social Nationalist Party
1936 establishments in Mandatory Syria,Category:Kataeb Party
Lebanese Army Operations,
CS1 Romanian-language sources (ro),Category:CS1 Moldovan-language sources (mo)
Demographics of Lebanon,Category:Lebanese people by ethnic or national origin
,Category:Ethnic groups in Lebanon
,Category:Expatriates in Lebanon
,Category:Immigrants to Lebanon
,Category:Jews and Judaism in Lebanon
Conflicts in 1985,Category:Attacks in 1985
,Category:Eritrean War of Independence
,Category:Guatemalan Civil War
,Category:Internal conflict in Peru
,Category:Iran–Iraq War
,Category:1985 labor disputes and strikes
,Category:Mozambican Civil War
,Category:1985 riots
,Category:South African Border War
,Category:Sri Lankan Civil War
Articles with unsourced statements from September 2011,
American films,Category:American films by genre
,Category:American film-related lists
,Category:American films by studio
,Category:American films by subject
,Category:Lists of American films
,Category:Puerto Rican films
,Category:American 3D films
,Category:American films based on actual events
,Category:African-American films
,Category:American films based on plays
,Category:American anthology films
,Category:American anti-communist propaganda films
,Category:Asian-American films
,Category:American black-and-white films
,Category:Cambodian-American films
,Category:Chinese-American films
,Category:American direct-to-video films
,Category:Films by American producers
,Category:American films about Halloween
,Category:Indian-American films
,Category:Iranian-American films
,Category:Japanese-American films
,Category:Korean-American films
,Category:Legally Blonde (franchise)
,Category:Lost American films
,Category:Mexican-American films
,Category:American multilingual films
,Category:United States National Film Registry films
,Category:Pakistani-American films
,Category:Peanuts television documentaries
,Category:American film posters
,Category:Rediscovered American films
,Category:American remakes of foreign films
,Category:American sequel films
,Category:American film series
,Category:American short films
,Category:Spanish-language American films
,Category:Taiwanese-American films
,Category:American television films
,Category:United States government films
,Category:Unreleased American films
,Category:Vietnamese-American films
,Category:American film stubs
Articles with specifically marked weasel-worded phrases from October 2014,
Ministers of Internal Affairs of Israel,
Wars involving Iraq,Category:Civil wars in Iraq
,Category:Guerrilla wars in Iraq
