الاسم,الإيديولوجيا,الموقف السياسي,المؤسس (المؤسسون)
فتح - المجلس الثوري ,"قومية فلسطينية,معاداة الصهيونية,علمانية,",-,
كتائب شهداء الاقصى ,"اشتراكية,قومية فلسطينية,معاداة الصهيونية,",-,
حركة أمل ,"شعبوية,سياسة محافظة,",مركزية (مترجمه),"نبيه بري ,موسى الصدر (مترجمه)"
جيش الإنقاذ ,"معاداة الصهيونية,قومية عربية,العروبة,",-,
جبهة التحرير العربية ,"بعثية,قومية فلسطينية,بعثية,النيوباثية,",-,
جيش الإسلام ,"السلفية,إسلاموية,الجهادية,",-,
جيش الجهاد المقدس ,معاداة الصهيونية,-,
الصاعقه,"بعثية,العروبة,",-,
منظمة أيلول الأسود ,القومية الفلسطينية معاداة الصهيونية ,-,
الجبهة الديمقراطية لتحرير فلسطين ,"القومية اليسارية,شيوعية,ماركسية لينينية,قومية فلسطينية,معاداة الصهيونية,",أقصى اليسار (مترجمه),
حركة فتح ,"قومية فلسطينية,ديمقراطية اجتماعية,علمانية,","سنترليفت (مترجمه),يسارية ",
حراس الأرز ,"عصبية قومية,قومية لبنانية,ضد الفلسطينيين,محافظة اجتماعية,مكافحة العربية,قومية فينيقية,",-,
الجبهة الديمقراطية للسلام والمساواة ,"المصالح العربية الإسرائيلية,شيوعية,غير صهيونية,ماركسية لينينية,حل ذو دولتين,",Leftwing إلى farleft (مترجمه),
حركة حماس ,"شرطة (علامة),قائمة عادية,معاداة السامية,الإسلاموية,معاداة الصهيونية,ستيبانوفا,شرطة (علامة),القومية الدينية,- سنف,- معاداة الصهيونية,شيما,ليتوانيا,ابن,إنذار بالدفع,معاداة السامية,- مناهضة الشيوعية,- سنف,قومية فلسطينية,شرطة (علامة),معاداة الشيوعية,إسلاموية,القومية الدينية,دالاكورا,",-,"إسماعيل هنية ,ليفيت (مترجمه),موسى ابو مرزوق وخالد مشعل صفن (مترجمه)"
حزب الله ,"القومية الإسلامية,معاداة السامية,عقيدة الإسلام,معاداة الاستعمارية,جهاد الشيعة,خمينية,معاداة الصهيونية,أنتيويست,",-,حسن نصر الله 
حركة الجهاد الاسلامي ,"القومية الإسلامية,إسلاموية,قومية فلسطينية,الجهادية,معاداة الصهيونية,",-,
حركة التوحيد الإسلامي ,إسلاموية,-,
الجيش الأحمر الياباني ,"ماوية,شيوعية,ماركسية لينينية,معاداة الاستعمارية,",-,
حزب الكتائب اللبنانية ,"الكتائب,معاداة الشيوعية,قومية لبنانية,مارونية سياسية,ديمقراطية مسيحية,محافظة اجتماعية,","يمينية ,اقصى اليمين (مترجمه),مركزية (مترجمه)","سامي الجميل ,بيار الجميل "
حزب العمال الكردستاني ,"مناهضة التفسخ,اشتراكية تحررية,شيوعية,مناهضة الرأسمالية,قومية كردية,ماركسية لينينية,جيولوجيا,الكونفدرالية الديمقراطية,مشاعية,Antirevisionism الليبرتارية الاشتراكية Anticapitalism,قائمة عادية,",-,"سوزدار أفستا (مترجمه),بيسيه حوزات (مترجمه),عبد الله أوجلان ,باهوز اردال (مترجمه),مراد قرايلان ,مصطفى كاراسو الأسير (مترجمه),الدرع الدائم (مترجمه),أسير ,جميل بايق "
حزب العمل (توضيح) ,"حل ذو دولتين,صهيونية اشتراكية,ديمقراطية اجتماعية,",سنترليفت (مترجمه),"ميراف ميخائيلي ,كانوا هيرموني (مترجمه)"
القوات اللبنانية ,"قومية لبنانية,قومية مسيحية,محافظة ليبرالية,محافظة وطنية,",يمينية ,"سمير جعجع ,بشير الجميل "
الجبهة اللبنانية ,"قومية لبنانية,معاداة الشيوعية,أنتيبان,",-,
الليكود - الحركة الوطنية الليبرالية ,"محافظة ليبرالية,صهيونية تصحيحية,صهيونية,سياسة محافظة,ليبرالية اقتصادية,الشعبوية اليمينية,ليبرالية وطنية,","يمينية ,مركزية (مترجمه)",
الإخوان المسلمون ,"معاداة الشيوعية,إسلاموية,عقيدة الإسلام,سياسة محافظة,محافظة اجتماعية,الصوفية الجديدة,السلفية,معاداة الصهيونية,",يمينية ,
كونترا ,معاداة الشيوعية,-,
منظمة التحرير الفلسطينية ,قومية فلسطينية,-,
جيش التحرير الفلسطيني ,"قومية فلسطينية,معاداة الصهيونية,",-,
جبهة التحرير الفلسطينية ,قومية عربية,-,
جبهة النضال الشعبي الفلسطيني ,"اشتراكية,قومية فلسطينية,القومية اليسارية,",-,
الجبهة الشعبية لتحرير فلسطين ,"اشتراكية ثورية,العروبة,قومية عربية,ماركسية لينينية,معاداة الاستعمارية,حل واحد,قومية فلسطينية,معاداة الصهيونية,علمانية,",أقصى اليسار (مترجمه),
الجبهة الشعبية لتحرير فلسطين – القيادة العامة ,"قومية فلسطينية,قومية عربية,",-,أحمد جبريل 
لجان المقاومة الشعبية ,"حرب,الفلسطينية,قومية فلسطينية,الأصولية الإسلامية,معاداة الصهيونية,",-,
الحزب التقدمي الاشتراكي ,"ديمقراطية اجتماعية,قومية عربية,العروبة,الاشتراكية الديمقراطية,طرف خارجي,","يسارية ,مركز (توضيح) ,الوسط (مترجمه)",
الخلايا الثورية ,"ماركسية,معاداة الصهيونية,معاداة الاستعمارية,نسوية,",-,
الحزب السوري القومي الاجتماعي ,"قومية اقتصادية,معاداة السامية,الوحدوية السورية,أغسطس,عموم سوريا,هناك حاجة إلى صفحة مناهضة الشيوعية,قائمة قابلة للطي,القومية السورية,قومية يسارية,معاداة الصهيونية,علمانية,","توفيق بين الأديان ,قائمة Leftwing قابلة للطي (مترجمه)",فارس السعد (مترجمه)
