Name,Ideology,Political Position,Founder(s)
Fatah – The Revolutionary Council,"Secularism,Anti-Zionism,Palestinian nationalism",-,
al-Aqsa Martyrs Brigades,"Socialism,Anti-Zionism,Palestinian nationalism",-,
Amal Movement,"Populism,Conservatism",Centre-right,"Nabih Berri,Hussein el-Husseini,Musa al-Sadr,"
Arab Liberation Army,"Arab nationalism,Anti-Zionism,Pan-Arabism",-,
Arab Liberation Front,"Neo-Baathism,Saddamism,Palestinian nationalism,Baathism",-,
Army of Islam,"Jihadism,Sunni Islamism,Salafism",-,
Army of the Holy War,Anti-Zionism,-,
As-Saiqa,"Pan-Arabism,Baathism",-,
Black September Organization,"Palestinian nationalism, anti-Zionism",-,
Democratic Front for the Liberation of Palestine,"Marxism–Leninism,Anti-Zionism,Communism,Palestinian nationalism,Left-wing nationalism,ubl",Far-left,
Fatah,"Secularism,Palestinian nationalism,Social democracy","Centre-left,left-wing","Mahmoud Aloul,"
Guardians of the Cedars,"Anti-Palestinian,Social conservatism,Lebanese nationalism,Phoenicianism,Ultranationalism,Anti-Arabism",-,
Hadash,"Marxism–Leninism,Two-state solution,Eco-socialism,Communism,Non-Zionism,ubl,Israeli Arab interests",Left-wing to far-left,
Hamas,"113 efn,66-67,Religious nationalism,156–57,plainlist,Dunning,55,64–67 * Anti-Zionism,Anti-communism,pp,Dalacoura,151–52,efn,66-67 * Islamism sfn,156–57 sfn,66-67 sfn,Anti-Zionism,Cheema,Islamism,Palestinian nationalism,156–57 * Anti-communism sfn,Filiu,Antisemitism,270 * Religious nationalism sfn,Stepanova,465 efn,465 sfn,151–52 sfn,Antisemitism sfn,sfn,Litvak,55,64–67",-,"Ismail Haniyeh,Levitt,Mousa Abu Marzouq and Khaled Mashal sfn,"
Hezbollah,"Anti-imperialism,Anti-West,Anti-Zionism,Khomeinism,Shia Jihad,Islamic nationalism,Pan-Islamism,Antisemitism,Unbulleted list",-,"Sayyed Hassan Nasrallah,"
Islamic Jihad Movement,"Anti-Zionism,Islamism,Palestinian nationalism,Islamic nationalism,Jihadism",-,
Islamic Unification Movement,Islamism,-,
Japanese Red Army,"Communism,Marxism–Leninism,Anti-imperialism,Maoism",-,
Lebanese Kataeb Party,"Anti-communism,Falangism,Social conservatism,Lebanese nationalism,Christian democracy,Maronite politics","Centre-right,Right-wing,far-right","Samy Gemayel,Pierre Gemayel,"
Kurdistan Workers Party,"Communalism,Marxism–Leninism,Jineology,Anti-capitalism,Anti-revisionism * Libertarian socialism * Anti-capitalism,Communism,Plainlist,Kurdish nationalism,Democratic confederalism,Libertarian socialism,Anti-revisionism",-,"Besê Hozat,Cemîl Bayik,POW,Mustafa Karasu POW,Sozdar Avesta,ubl,Bahoz Erdal,Abdullah Öcalan,Duran Kalkan,Murat Karayılan,"
Labor Party,"ubl,Labor Zionism,Two-state solution,Social democracy",Center-left,"Merav Michaeli,Eran Hermoni,"
Lebanese Forces,"Liberal conservatism,Christian nationalism,National conservatism,Lebanese nationalism",Right-wing,"Samir Geagea,Bachir Gemayel,"
Lebanese Front,"Lebanese nationalism,Anti-pan-Arabism,Anti-communism",-,
Likud,"Revisionist Zionism,Conservatism,Zionism,ubl,Liberal conservatism,National liberalism,Right-wing populism,Economic liberalism","Centre-right,right-wing",
Society of the Muslim Brothers,"Religious conservatism,Anti-communism,Social conservatism,Anti-Zionism,Pan-Islamism,Salafiyya,Sunni Islamism,Neo-Sufism",Right-wing,
Nicaraguan Contras,Anti-communism,-,
Palestine Liberation Organization,Palestinian nationalism,-,"Mahmoud Abbas,"
Palestine Liberation Army,"Anti-Zionism,Palestinian nationalism",-,
Palestinian Liberation Front,Arab nationalism,-,
Palestinian Popular Struggle Front,"Left-wing nationalism,Palestinian nationalism,Socialism",-,
Popular Front for the Liberation of Palestine,"Arab nationalism,Marxism–Leninism,Anti-imperialism,Anti-Zionism,Secularism,One-state solution,Palestinian nationalism,Pan-Arabism,ubl,Revolutionary socialism",Far-left,"Ahmad Saadat,"
Popular Front for the Liberation of Palestine - General Command,"Arab nationalism,Palestinian nationalism",-,"Ahmed Jibril,"
Popular Resistance Committees,"Anti-Zionism,Palestinianism,Palestinian nationalism,Islamic Fundamentalism,Armed struggle",-,
Progressive Socialist Party,"Democratic socialism,Arab nationalism,Third Way,Pan-Arabism,Social democracy","Left-wing,Centre,centre-left",
Revolutionary Cells,"Marxism,Anti-imperialism,Anti-Zionism,Feminism",-,
Syrian Social Nationalist Party,"Pan-Syrianism,Anti-Zionism,Anti-communism Page needed,Syrian nationalism,Secularism,Social nationalism,Economic populism,August 2021,ubl,officially denied) collapsible list,officially denied),Page needed,Antisemitism,Syrian irredentism","Syncretic,Left-wing collapsible list","Fares al-Saad,Antoun Saadeh,"
