الاسم,الإيديولوجيا,الموقف السياسي,المؤسس (المؤسسون)
الصاعقه,"العروبة,بعثية,",-,
الكتلة الدستورية ,"ميثاق برونيشونال,اللاطائفية,قومية مدنية,",مركز علماني (مترجمه),
التيار الوطني الحر ,"مصادر مختلفة تزعم القومية المدنية والقومية المسيحية,قومية مدنية,ليبرالية,ديمقراطية مسيحية,",خيمة كبيرة (سياسة) ,
حزب الكتائب اللبنانية ,"مارونية سياسية,قومية لبنانية,معاداة الشيوعية,الكتائب,ديمقراطية مسيحية,محافظة اجتماعية,","مركزية (مترجمه),يمينية ,اقصى اليمين (مترجمه)","سامي الجميل ,بيار الجميل "
القوات اللبنانية ,"محافظة وطنية,محافظة ليبرالية,قومية مسيحية,قومية لبنانية,",يمينية ,"سمير جعجع ,بشير الجميل "
الجبهة اللبنانية ,"أنتيبان,قومية لبنانية,معاداة الشيوعية,",-,
الكتلة الوطنية (توضيح) ,"الفرانكوفيلية,علمانية,قومية لبنانية,محافظة ليبرالية,ليبرالية,",مركز (توضيح) ,
تيار المردة ,"عموم سوريا,قومية لبنانية,ديمقراطية مسيحية,",يمينية ,"سليمان فرنجية ,الابن (مترجمه),سليمان فرنجية "
الحزب الوطني الليبرالي ,"ليبرالية وطنية,قومية لبنانية,ليبرالية اقتصادية,",مركزية (مترجمه),"كميل دوري شمعون (مترجمه),روبرت خوري (مترجمه),بيير جيرا (مترجمه),كميل شمعون "
منظمة التحرير الفلسطينية ,قومية فلسطينية,-,
الحزب السوري القومي الاجتماعي ,"الوحدوية السورية,قومية اقتصادية,عموم سوريا,علمانية,أغسطس,القومية السورية,قومية يسارية,قائمة قابلة للطي,هناك حاجة إلى صفحة مناهضة الشيوعية,معاداة السامية,معاداة الصهيونية,","قائمة Leftwing قابلة للطي (مترجمه),توفيق بين الأديان ",فارس السعد (مترجمه)
