Name,Political Party,Nationality,Religion
Alfred Georges Naqqache,Kataeb Party,-,-
Amine Gemayel,Kataeb Party,Lebanese,-
Ayoub Tabet,-,-,-
Bechara El Khoury,Constitutional Bloc,-,-
Camille Chamoun,"Constitutional Bloc,National Liberal Party",-,-
Charles Helou,-,Lebanese,-
Dany Chamoun,National Liberal Party,-,-
Elias Hrawi,Independent,Lebanese,-
Elie Hobeika,-,Lebanese,-
Fadi Frem,-,-,-
Fouad Abou Nader,-,-,-
Fouad Siniora,Future Movement,-,-
Fouad Chehab,Independent,-,-
Gebran Bassil,Free Patriotic Movement,Lebanese,-
Geneviève Gemayel,-,Lebanese,-
George Hawi,"Democratic Left Movement Citation needed,November 2016,Lebanese Communist Party",Lebanese,-
Habib Tanious Shar,-,Lebanese,-
Hafez al-Assad,,-,-
Hani al Hassan,-,Palestinian,-
Kamal Jumblatt,Progressive Socialist Party,Lebanese,-
Karim Pakradouni,-,Lebanese,-
Michel Aoun,Free Patriotic Movement,-,-
Michel Suleiman,Independent,-,-
Nadim Gemayel,Kataeb Party,Lebanese,-
Petro Trad,-,-,-
Philip Habib,-,American,-
Philippe Pétain,-,-,-
Pierre Amine Gemayel,Kataeb Party,Lebanese,-
Pierre Gemayel,Kataeb Party,Lebanese,-
René Moawad<Br/> Nobold,Independent,-,-
Samy Gemayel,Kataeb Party,Lebanese,-
Samir Geagea,Lebanese Forces,Lebanese,-
Selim Hoss,-,-,-
Shafik Wazzan,Independent,Lebanese,-
Solange Gemayel,Kataeb Party,Lebanese,-
Suleiman Bey Frangieh,Marada Movement,-,-
Tammam Salam,Future Movement,-,-
Tony Frangieh,Marada Brigade,Lebanese,-
Yasser Arafat,Fatah,Palestinian,-
Zeev Jabotinsky,Hatzohar,-,-
Élias Sarkis,Chehabist,Lebanese,-
Émile Eddé,National Bloc,-,-
Émile Lahoud,Independent,-,-
