اسم التقسيم,نوع التقسيم,الاسم
"علم (راية) ,لبنان ",بلد ,آبي 
"علم (راية) ,لبنان ",بلد ,عاليه  
"علم (راية) ,لبنان ",بلد ,عاليه  
لبنان ,بلد ,أب 
"لبنان ,بلد العلم (مترجمه)",بلد ,بعبدا 
"علم (راية) ,لبنان ",بلد ,منطقة Boutchay 
لبنان ,بلد ,بيروت 
"لبنان ,بلد العلم (مترجمه)",بلد ,بيت الدين
لبنان ,بلد ,بحمدون 
"علم (راية) ,لبنان ",بلد ,بسوس 
لبنان ,بلد ,جبيل 
"علم (راية) ,لبنان ",بلد ,شويفات
"علم (راية) ,لبنان ",بلد ,قضاء الشوف 
-,-,قبرص 
سوريا ,بلد ,دمشق 
,بلد ,الدامور 
"لبنان ,بلد العلم (مترجمه)",بلد ,دير القمر
"لبنان ,بلد العلم (مترجمه)",بلد ,ضهور الشوير 
"لبنان ,بلد العلم (مترجمه)",بلد ,درة 
لبنان ,بلد ,فالوغا
-,-,فرنسا 
"علم (راية) ,لبنان ",بلد ,بيروت الكبرى 
لبنان ,بلد ,الحدث الحمراء 
لبنان ,بلد ,حالات 
"لبنان ,بلد العلم (مترجمه)",بلد ,حمانا 
-,-,إسرائيل 
-,-,الأردن 
لبنان ,بلد ,كفرسلوان 
"علم (راية) ,لبنان ",بلد ,كيفون 
"علم (راية) ,لبنان ",بلد ,قضاء كسروان 
"علم (راية) ,لبنان ",بلد ,كفر شيما 
-,-,لبنان 
"علم (راية) ,لبنان ",بلد ,قضاء المتن 
-,-,إمارة جبل لبنان 
"لبنان ,بلد العلم (مترجمه)",بلد ,رأس المتن 
لبنان ,بلد ,سليمة 
-,-,السعودية 
لبنان ,بلد ,كازينو صوفر سرسق الكبير 
لبنان ,بلد ,صيدا 
"لبنان ,بلد العلم (مترجمه)",بلد ,سن الفيل
"لبنان ,بلد العلم (مترجمه)",بلد ,سوق الغرب
-,-,سويسرا 
-,-,سوريا 
-,بلد ,طرابلس 
"علم (راية) ,لبنان ",بلد ,صور  
-,-,الولايات المتحدة 
"لبنان ,بلد العلم (مترجمه)",بلد ,يرزة 
"لبنان ,بلد العلم (مترجمه)",بلد ,ذوق مكايل 
