Name,Subdivision type,Subdivision name
Aabey,Country,"Flag,Lebanon"
Aley,Country,"Flag,Lebanon"
Aley District,Country,"Flag,Lebanon"
Aitat,Country,Lebanon
Baabda,Country,"Lebanon,flagcountry"
Boutchay District,Country,"Flag,Lebanon"
Beirut,Country,Lebanon
Beit ed-Dine,Country,"Lebanon,flagcountry"
Bhamdoun,Country,Lebanon
Bsous,Country,"Flag,Lebanon"
Byblos,Country,Lebanon
Choueifat,Country,"Flag,Lebanon"
Chouf District,Country,"Flag,Lebanon"
Cyprus,-,-
Damascus,Country,Syria
Damour,Country,LBN
Deir el Qamar,Country,"Lebanon,flagcountry"
Dhour El Choueir,Country,"Lebanon,flagcountry"
Dora,Country,"Lebanon,flagcountry"
Falougha - Khalwat Falougha,Country,Lebanon
France,-,-
Grand Beyrouth,Country,"Flag,Lebanon"
Hadath,Country,Lebanon
Halat,Country,Lebanon
Hammana,Country,"Lebanon,flagcountry"
Israel,-,-
Jordan,-,-
Kfar Silwan,Country,Lebanon
Kaifun,Country,"Flag,Lebanon"
Keserwan District,Country,"Flag,Lebanon"
Kfarshima,Country,"Flag,Lebanon"
Lebanon,-,-
Matn District,Country,"Flag,Lebanon"
Mount Lebanon Emirate,-,-
Ras el-Matn,Country,"Lebanon,flagcountry"
Salima,Country,Lebanon
Saudi Arabia,-,-
"Sawfar , Sursock Grand Casino",Country,Lebanon
Sidon,Country,Lebanon
Sin el Fil,Country,"Lebanon,flagcountry"
Souk El Gharb,Country,"Lebanon,flagcountry"
Switzerland,-,-
Syria,-,-
Tripoli,Country,-
Tyre,Country,"Flag,Lebanon"
the United States,-,-
Yarze,Country,"Lebanon,flagcountry"
Zouk Mikael,Country,"Lebanon,flagcountry"
