الاسم,الإيديولوجيا,الموقف السياسي,المؤسس (المؤسسون)
الصاعقه,"بعثية,العروبة,",-,
حركة فتح ,"علمانية,ديمقراطية اجتماعية,قومية فلسطينية,","سنترليفت (مترجمه),يسارية ",
حزب الكتائب اللبنانية ,"ديمقراطية مسيحية,محافظة اجتماعية,قومية لبنانية,الكتائب,معاداة الشيوعية,مارونية سياسية,","يمينية ,اقصى اليمين (مترجمه),مركزية (مترجمه)","سامي الجميل ,بيار الجميل "
الحزب الشيوعي اللبناني ,"شيوعية,ماركسية لينينية,",أقصى اليسار (مترجمه),
القوات اللبنانية ,"قومية لبنانية,محافظة ليبرالية,محافظة وطنية,قومية مسيحية,",يمينية ,"سمير جعجع ,بشير الجميل "
الحزب الوطني الليبرالي ,"ليبرالية وطنية,ليبرالية اقتصادية,قومية لبنانية,",مركزية (مترجمه),"كميل دوري شمعون (مترجمه),روبرت خوري (مترجمه),بيير جيرا (مترجمه),كميل شمعون "
منظمة التحرير الفلسطينية ,قومية فلسطينية,-,
الجبهة الشعبية لتحرير فلسطين ,"معاداة الاستعمارية,معاداة الصهيونية,اشتراكية ثورية,قومية فلسطينية,العروبة,قومية عربية,ماركسية لينينية,حل واحد,علمانية,",أقصى اليسار (مترجمه),
الحزب التقدمي الاشتراكي ,"قومية عربية,طرف خارجي,العروبة,ديمقراطية اجتماعية,الاشتراكية الديمقراطية,","مركز (توضيح) ,الوسط (مترجمه),يسارية ",
الحزب السوري القومي الاجتماعي ,"نقابوية,أغسطس,قائمة قابلة للطي,عموم سوريا,هناك حاجة إلى صفحة مناهضة الشيوعية,معاداة الصهيونية,القومية السورية,الوحدوية السورية,قومية يسارية,علمانية,","توفيق بين الأديان ,يسارية ",
