Name,Ideology,Political Position,Founder(s)
As-Saiqa,"Baathism,Pan-Arabism",-,
Fatah,"Secularism,Social democracy,Palestinian nationalism","Centre-left,left-wing","Mahmoud Aloul,"
Lebanese Kataeb Party,"Christian democracy,Social conservatism,Lebanese nationalism,Falangism,Anti-communism,Maronite politics","Right-wing,far-right,Centre-right","Samy Gemayel,Pierre Gemayel,"
Lebanese Communist Party,"Communism,Marxism–Leninism",Far-left,
Lebanese Forces,"Lebanese nationalism,Liberal conservatism,National conservatism,Christian nationalism",Right-wing,"Samir Geagea,Bachir Gemayel,"
National Liberal Party,"National liberalism,Economic liberalism,Lebanese nationalism",Centre-right,"Camille Dory Chamoun,Robert Khoury,Pierre Geara,Camille Chamoun,"
Palestine Liberation Organization,Palestinian nationalism,-,"Mahmoud Abbas,"
Popular Front for the Liberation of Palestine,"Anti-imperialism,Anti-Zionism,Revolutionary socialism,Palestinian nationalism,Pan-Arabism,Arab nationalism,Marxism–Leninism,One-state solution,Secularism,ubl",Far-left,"Ahmad Saadat,"
Progressive Socialist Party,"Arab nationalism,Third Way,Pan-Arabism,Social democracy,Democratic socialism","Centre,centre-left,Left-wing",
Syrian Social Nationalist Party,"Corporatism,August 2021,officially denied) collapsible list,Pan-Syrianism,Anti-communism Page needed,Anti-Zionism,Syrian nationalism,Page needed,Syrian irredentism,Social nationalism,Secularism,ubl,officially denied)","Syncretic,Left-wing","Rabi Banat,Antun Saadeh,"
