الاسم,الإيديولوجيا,الموقف السياسي,المؤسس (المؤسسون)
فتح - المجلس الثوري ,"علمانية,قومية فلسطينية,معاداة الصهيونية,",-,
حركة أمل ,"سياسة محافظة,شعبوية,",مركزية (مترجمه),"نبيه بري ,موسى الصدر (مترجمه)"
الجبهة الديمقراطية لتحرير فلسطين ,"ماركسية لينينية,شيوعية,معاداة الصهيونية,القومية اليسارية,قومية فلسطينية,",أقصى اليسار (مترجمه),
حركة فتح ,"ديمقراطية اجتماعية,علمانية,قومية فلسطينية,","سنترليفت (مترجمه),يسارية ",
حزب الله ,"خمينية,معاداة السامية,عقيدة الإسلام,القومية الإسلامية,معاداة الصهيونية,معاداة الاستعمارية,أنتيويست,جهاد الشيعة,",-,حسن نصر الله 
حزب الكتائب اللبنانية ,"الكتائب,معاداة الشيوعية,ديمقراطية مسيحية,قومية لبنانية,مارونية سياسية,محافظة اجتماعية,","مركزية (مترجمه),يمينية ,اقصى اليمين (مترجمه)","سامي الجميل ,بيار الجميل "
القوات اللبنانية ,"قومية مسيحية,محافظة ليبرالية,قومية لبنانية,محافظة وطنية,",يمينية ,"سمير جعجع ,بشير الجميل "
الجبهة اللبنانية ,"أنتيبان,قومية لبنانية,معاداة الشيوعية,",-,
منظمة التحرير الفلسطينية ,قومية فلسطينية,-,
جبهة التحرير الفلسطينية ,قومية عربية,-,
الجبهة الشعبية لتحرير فلسطين – القيادة العامة ,"قومية عربية,قومية فلسطينية,",-,أحمد جبريل 
