en,ar
Christian Maronites,الموارنة المسيحيون
a Maronite,ماروني
Maronite,موارنة
Shatilla,شاتيلا
Phalangist,الكتائب
Christians,مسيحيون
Palestinians,فلسطينيون
Lebanese Muslims,المسلمون اللبنانيون
Israeli,إسرائيلي
Norwegian,النرويجية
Lebanese Muslim,مسلم لبناني
Iraqi,عراقي
Palestinian,فلسطيني
European,الأوروبي
Syrians,سوريون
LF,LF
Nazi,النازي
Belgian,بلجيكي
Jewish,يهودي
Western,الغربي
Americans,الأمريكيون
Arab,عرب
Semites,ساميون
Syrian,سوري
American,أمريكي
British,بريطاني
Lebanese,لبناني
Israelis,الإسرائيليين
a Lebanese,لبناني
Christian,مسيحي
Dutch,هولندي
Muslim,مسلم
Kurds,الأكراد
Phalange,الكتائب
Phalangists,الكتائب
