الدين,الجنسيه,الحزب السياسي,الاسم
-,فلسطينيون ,-,ابو نضال
-,إسرائيلي (مترجمه),-,أهارون باراك 
-,-,-,أمير دروري 
-,-,-,عاموس يارون 
-,-,حزب الكتائب اللبنانية ,بشير الجميل 
-,-,مستقل (توضيح) ,رينيه معوض 
-,إسرائيلي (مترجمه),-,بيني موريس 
-,"أمريكي (مترجمه),بريطاني (مترجمه)",-,برنارد لويس 
-,لبناني (مترجمه),-,إيلي حبيقة 
-,لبناني (مترجمه),-,حبيب طانيوس شرتوني
-,أمريكي (مترجمه),-,جانيت لي ستيفنز 
اليهودية ,-,-,موشيه ليفي 
-,-,-,نعوم تشومسكي 
-,أمريكي (مترجمه),-,فيليب حبيب
-,لبناني (مترجمه),"مستقل (توضيح) ,مرتبط ,الحركة الوطنية اللبنانية خلال الحرب الأهلية اللبنانية ",رشيد كرامي 
-,-,-,روبرت فيسك 
-,-,-,رون بنييشاي 
-,-,-,سعد حداد
-,ايرلندية (مترجمه),أبناء الجمهورية ,شون ماكبرايد 
-,إسرائيلي (مترجمه),-,شلومو أرجوف 
-,-,-,توماس فريدمان 
-,-,-,وليام شاباس 
-,-,-,إسحاق كوهن (قاضي) 
-,-,-,يوسي ألفر 
