Name,Political Party,Nationality,Religion
Abu Nidal,-,Palestinian,-
Aharon Barak,-,Israeli,-
Amir Drori,-,-,-
Amos Yaron,-,-,-
Bachir Gemayel,Kataeb Party,-,-
René Moawad<Br/> Nobold,Independent,-,-
Benny Morris,-,Israeli,-
Bernard Lewis,-,"American,British",-
Elie Hobeika,-,Lebanese,-
Habib Tanious Shar,-,Lebanese,-
Janet Lee Stevens,-,American,-
Moshe Levi,-,-,Judaism
Noam Chomsky,-,-,-
Philip Habib,-,American,-
Rashid Karami,"Independent,Associated,the Lebanese National Movement during the Lebanese Civil War.",Lebanese,-
Robert Fisk,-,-,-
Ron Ben-Yishai,-,-,-
Saad Haddad,-,-,-
Seán MacBride,Clann na Poblachta,Irish,-
Shlomo Argov,-,Israeli,-
Thomas Friedman,-,-,-
William Schabas,-,-,-
Yitzhak Kahan,-,-,-
Yossi Alpher,-,-,-
