الاسم,الإيديولوجيا,الموقف السياسي,المؤسس (المؤسسون)
كتائب شهداء الاقصى ,"معاداة الصهيونية,اشتراكية,قومية فلسطينية,",-,
حركة أمل ,"شعبوية,سياسة محافظة,",مركزية (مترجمه),"نبيه بري ,موسى الصدر (مترجمه)"
جيش الإنقاذ ,"معاداة الصهيونية,العروبة,قومية عربية,",-,
جبهة التحرير العربية ,"النيوباثية,بعثية,قومية فلسطينية,بعثية,",-,
حزب البعث العربي الاشتراكي (لبنان) ,بعثية,-,
جيش الإسلام ,"السلفية,الجهادية,إسلاموية,",-,
جيش الجهاد المقدس ,معاداة الصهيونية,-,
الصاعقه,"العروبة,بعثية,",-,
منظمة أيلول الأسود ,القومية الفلسطينية معاداة الصهيونية ,-,
منظمة العمل الشيوعي في لبنان ,"ماركسية لينينية,اشتراكية,شيوعية,",يسارية ,
الجبهة الديمقراطية لتحرير فلسطين ,"شيوعية,معاداة الصهيونية,ماركسية لينينية,القومية اليسارية,قومية فلسطينية,",أقصى اليسار (مترجمه),
حركة فتح ,"علمانية,قومية فلسطينية,ديمقراطية اجتماعية,","سنترليفت (مترجمه),يسارية ",
التيار الوطني الحر ,"ليبرالية,مصادر مختلفة تزعم القومية المدنية والقومية المسيحية,ديمقراطية مسيحية,قومية مدنية,",خيمة كبيرة (سياسة) ,
حراس الأرز ,"قومية لبنانية,ضد الفلسطينيين,قومية فينيقية,محافظة اجتماعية,عصبية قومية,مكافحة العربية,",-,
حركة حماس ,"القومية الدينية,- سنف,معاداة السامية,معاداة السامية,- مناهضة الشيوعية,قائمة عادية,- سنف,معاداة الشيوعية,شرطة (علامة),- معاداة الصهيونية,معاداة الصهيونية,شرطة (علامة),الإسلاموية,شرطة (علامة),شيما,قومية فلسطينية,ستيبانوفا,إسلاموية,ابن,ليتوانيا,دالاكورا,القومية الدينية,إنذار بالدفع,",-,"إسماعيل هنية ,موسى ابو مرزوق وخالد مشعل صفن (مترجمه),ليفيت (مترجمه)"
حزب الله ,"القومية الإسلامية,معاداة الاستعمارية,أنتيويست,معاداة السامية,معاداة الصهيونية,عقيدة الإسلام,جهاد الشيعة,خمينية,",-,حسن نصر الله 
حركة الجهاد الاسلامي ,"القومية الإسلامية,الجهادية,معاداة الصهيونية,قومية فلسطينية,إسلاموية,",-,
الجيش الأحمر الياباني ,"ماركسية لينينية,ماوية,معاداة الاستعمارية,شيوعية,",-,
حزب الكتائب اللبنانية ,"قومية لبنانية,معاداة الشيوعية,الكتائب,محافظة اجتماعية,ديمقراطية مسيحية,مارونية سياسية,","يمينية ,اقصى اليمين (مترجمه),مركزية (مترجمه)","سامي الجميل ,بيار الجميل "
حزب العمال الكردستاني ,"مناهضة الرأسمالية,جيولوجيا,قومية كردية,الكونفدرالية الديمقراطية,قائمة عادية,مشاعية,شيوعية,مناهضة التفسخ,ماركسية لينينية,اشتراكية تحررية,Antirevisionism الليبرتارية الاشتراكية Anticapitalism,",-,"باهوز اردال (مترجمه),الدرع الدائم (مترجمه),بيسيه حوزات (مترجمه),جميل بايق ,عبد الله أوجلان ,مراد قرايلان ,سوزدار أفستا (مترجمه),مصطفى كاراسو الأسير (مترجمه),أسير "
الحزب الشيوعي اللبناني ,"ماركسية لينينية,شيوعية,",أقصى اليسار (مترجمه),
القوات اللبنانية ,"محافظة ليبرالية,محافظة وطنية,قومية لبنانية,قومية مسيحية,",يمينية ,"سمير جعجع ,بشير الجميل "
الجبهة اللبنانية ,"قومية لبنانية,معاداة الشيوعية,أنتيبان,",-,
الإخوان المسلمون ,"معاداة الشيوعية,إسلاموية,محافظة اجتماعية,معاداة الصهيونية,الصوفية الجديدة,عقيدة الإسلام,السلفية,سياسة محافظة,",يمينية ,
منظمة التحرير الفلسطينية ,قومية فلسطينية,-,
جبهة التحرير الفلسطينية ,قومية عربية,-,
جبهة النضال الشعبي الفلسطيني ,"اشتراكية,قومية فلسطينية,القومية اليسارية,",-,
الجبهة الشعبية لتحرير فلسطين ,"العروبة,معاداة الاستعمارية,اشتراكية ثورية,قومية عربية,حل واحد,علمانية,ماركسية لينينية,معاداة الصهيونية,قومية فلسطينية,",أقصى اليسار (مترجمه),
الجبهة الشعبية لتحرير فلسطين – القيادة العامة ,"قومية عربية,قومية فلسطينية,",-,أحمد جبريل 
لجان المقاومة الشعبية ,"الفلسطينية,معاداة الصهيونية,حرب,قومية فلسطينية,الأصولية الإسلامية,",-,
الخلايا الثورية ,"معاداة الصهيونية,نسوية,معاداة الاستعمارية,ماركسية,",-,
حركه الصابرين,"معاداة الصهيونية,الشيعة,",-,
الحزب السوري القومي الاجتماعي ,"قومية يسارية,قائمة قابلة للطي,القومية السورية,الوحدوية السورية,معاداة السامية,علمانية,معاداة الصهيونية,قومية اقتصادية,عموم سوريا,هناك حاجة إلى صفحة مناهضة الشيوعية,أغسطس,","قائمة Leftwing قابلة للطي (مترجمه),توفيق بين الأديان ",فارس السعد (مترجمه)
