الدين,الجنسيه,الحزب السياسي,الاسم
-,-,-,عبد العزيز رنتيسي
-,فلسطينيون ,nan,ابو علي مصطفى
-,-,حركة فتح ,صلاح خلف 
-,-,-,خليل الوزير 
-,فلسطينيون ,-,ابو نضال
-,فلسطينيون ,-,أحمد جبريل 
-,-,-,احمد ياسين
-,-,-,علي حسن سلامة 
الإسلام ,-,اللجنة العربية العليا ,امين الحسيني
-,إسرائيلي (مترجمه),العمل ,أمنون ليبكين شاك 
-,إسرائيلي (مترجمه),-,أفي شلايم 
-,-,حزب الكتائب اللبنانية ,بشير الجميل 
-,إسرائيلي (مترجمه),-,بيني موريس 
-,-,-,دان حالوتس 
-,"أوت (مترجمه),إمبراطورية الرجل (مترجمه),يرسل (مترجمه),فلسطين (مترجمه),إسرائيل ,صورة العلم (مترجمه)",Poale Zion Ahdut Haafoda Mapai Rafi القائمة الوطنية ,ديفيد بن غوريون 
-,-,-,افرايم هليفي 
-,-,nan,إيهود أولمرت 
-,-,-,إيلي جيفا 
-,لبناني (مترجمه),-,إيلي حبيقة 
-,-,-,فادي أفرام 
-,فلسطينيون ,حركة الجهاد الإسلامي في فلسطين ,فتحي الشقاقي 
-,فلسطينيون ,nan,جورج حبش 
-,لبناني (مترجمه),"الحزب الشيوعي اللبناني ,الحاجة إلى اقتباس من حركة اليسار الديمقراطي ,نوفمبر ",جورج حاوي 
-,-,nan,جولدا مائير 
-,-,nan,حافظ الاسد
-,فلسطينيون ,حركة حماس ,إسماعيل هنية 
-,-,-,عز الدين القسام 
-,فلسطين (توضيح) ,حركة فتح ,جبريل الرجوب 
-,فلسطينيون ,حركة حماس ,خالد مشعل 
-,فلسطينيون ,-,ليلى خالد
-,فلسطينيون ,حركة فتح ,محمود عباس
-,-,-,محمود دعاس 
-,-,-,محسوم كوركماز 
-,-,-,مئير داغان 
-,-,حركة فتح ,محمد دحلان 
-,فلسطينيون ,-,محمد الضيف 
-,-,-,مونتي ملكونيان 
-,-,-,موشيه دايان 
-,-,-,موشيه يعلون 
-,-,-,محمد زيدان
-,سوريون ,"حزب البعث العربي الاشتراكي - إقليم سوريا التابع لحزب البعث العربي الاشتراكي ,كان عضوا في حزب البعث الأصلي وفرعه الإقليمي السوري حتى ",مصطفى طلاس 
-,-,-,اسامه بن لادن
-,أمريكي (مترجمه),-,فيليب حبيب
-,فلسطينيون ,حركة الجهاد الإسلامي في فلسطين ,رمضان شلح
-,-,-,سعد حداد
-,فلسطينيون ,-,سعد صايل
-,-,-,صلاح شحاده
-,لبناني (مترجمه),القوات اللبنانية ,سمير جعجع 
-,إسرائيل ,-,شبتاي شافيت 
-,-,-,شائول موفاز 
-,-,-,تسيبي ليفني 
-,-,-,وديع حداد 
-,-,-,يحيى عياش 
-,فلسطينيون ,حركة فتح ,ياسر عرفات
-,إسرائيلي (مترجمه),حزب العمل المواءمة ,إسحاق رابين 
-,إسرائيلي (مترجمه),-,يوفال ديسكين 
-,فلسطينيون ,حزب البعث العربي الاشتراكي ,زهير محسن
يهود ,إسرائيل ,-,تسفي زامير 
