Name,Political Party,Nationality,Religion
Abdel Aziz Al-Rantisi,-,-,-
Abu Ali Mustafa,,Palestinian,-
Salah Khalaf,Fatah,-,-
Khalil al-Wazir,-,-,-
Abu Nidal,-,Palestinian,-
Ahmed Jibril,-,Palestinian,-
Ahmed Yassin,-,-,-
Ali Hassan Salameh,-,-,-
Amin al-Husseini,Arab Higher Committee,-,Islam
Amnon Lipkin-Shahak,Labor,Israeli,-
Avi Shlaim,-,Israeli,-
Bachir Gemayel,Kataeb Party,-,-
Benny Morris,-,Israeli,-
Dan Halutz,-,-,-
David Ben-Gurion,"Poale Zion, Ahdut HaAvoda, Mapai, Rafi, National List","Ot,man Empire,Manda,ry Palestine,Israel,flagicon image",-
Efraim Halevy,-,-,-
Ehud Olmert,,-,-
Eli Geva,-,-,-
Elie Hobeika,-,Lebanese,-
Fadi Frem,-,-,-
Fathi Shaqaqi,Islamic Jihad Movement in Palestine,Palestinian,-
George Habash,,Palestinian,-
George Hawi,"Lebanese Communist Party,Democratic Left Movement Citation needed,November 2016",Lebanese,-
Golda Meir,,-,-
Hafez al-Assad,,-,-
Ismail Haniyeh,Hamas,Palestinian,-
Izz ad-Din al-Qassam,-,-,-
Jibril Rajoub,Fatah,Palestine,-
Khaled Mashal,Hamas,Palestinian,-
Leila Khaled,-,Palestinian,-
Mahmoud Abbas,Fatah,Palestinian,-
Mahmoud Daas,-,-,-
Mahsum Korkmaz,-,-,-
Meir Dagan,-,-,-
Mohammad Dahlan,Fatah,-,-
Mohammed Deif,-,Palestinian,-
Monte Melkonian,-,-,-
Moshe Dayan,-,-,-
Moshe Yaalon,-,-,-
Muhammad Zaidan,-,-,-
Mustafa Tlass,"Arab Socialist Baath Party – Syria Region of the Arab Socialist Baath Party,Was a member of the original Baath Party and its Syrian Regional Branch until 1966",Syrian,-
Osama bin Laden,-,-,-
Philip Habib,-,American,-
Ramadan Shalah,Islamic Jihad Movement in Palestine,Palestinian,-
Saad Haddad,-,-,-
Saad Sayel,-,Palestinian,-
Salah Shehade,-,-,-
Samir Geagea,Lebanese Forces,Lebanese,-
Shabtai Shavit,-,Israel,-
Shaul Mofaz,-,-,-
Tzipi Livni,-,-,-
Wadie Haddad,-,-,-
Yahya Ayyash,-,-,-
Yasser Arafat,Fatah,Palestinian,-
Yitzhak Rabin,"Alignment, Labor Party",Israeli,-
Yuval Diskin,-,Israeli,-
Zuheir Mohsen,Baath party,Palestinian,-
Zvi Zamir,-,Israel,Jewish
