Name,Subdivision type,Subdivision name
['Abbasids'],-,-
['Lebanon'],-,-
-,Country,LBN
['Algeria'],-,-
['Argentina'],-,-
['Iraq'],-,-
-,Country,"flagcountry,Lebanon"
['Bulgaria'],-,-
-,-,-
-,Country,"Flag,Lebanon"
-,Country,"Flag,Lebanon"
['Tripoli'],-,-
['Egypt'],-,-
-,-,-
['Fatimid Caliphate'],-,-
['France'],-,-
['Southern Lebanon'],-,-
['Abbasids'],-,-
['Lebanon'],-,-
Akkar,Country,LBN
['Aley'],Country,"Flag,Lebanon"
['Algeria'],-,-
['Argentina'],-,-
['Iraq'],-,-
Baabda,Country,"flagcountry,Lebanon"
['Beirut'],Country,Lebanon
['Bulgaria'],-,-
-,-,-
Chouf District,Country,"Flag,Lebanon"
Chouf District,Country,"Flag,Lebanon"
['Tripoli'],-,-
['Damascus'],Country,Syria
['Beirut'],Country,Lebanon
['Egypt'],-,-
-,-,-
['Fatimid Caliphate'],-,-
['France'],-,-
['Southern Lebanon'],-,-
['Hamdanids'],-,-
['Hasbaya'],Country,"Flag,Lebanon"
['Hermel'],Country,"Flag,Lebanon"
['Libya'],-,-
['Hittites'],-,-
['Ikhshidid dynasty'],-,-
['Iran'],-,-
['Iraq'],-,-
['Israel'],-,-
['Italy'],-,-
['Jordan'],-,-
['Egypt'],-,-
['Iraq'],-,-
['Jerusalem'],-,-
['الكورة'],Country,"Flag,Lebanon"
['Kuwait'],-,-
['Lebanon'],-,-
['Libya'],-,-
['Mamluk Sultanate of Egypt'],-,-
Marjayoun,Country,LBN
"lang,قضاء المتن,ar",Country,"Flag,Lebanon"
['Mirdasid'],-,-
['Morocco'],-,-
['Mount Lebanon Emirate'],-,-
Nabatieh,Country,"flagcountry,Lebanon"
['New Kingdom'],-,-
['North Korea'],-,-
['Ottoman Empire'],-,-
['Palestinian National Authority'],-,-
['Phoenicia'],-,-
['Rashaya'],Country,"Flag,Lebanon"
['Rashidun'],-,-
['Riyadh'],Country,Saudi Arabia
['Romania'],-,-
['Persia'],-,-
['Saudi Arabia'],-,-
-,-,-
['Abbasids'],-,-
['Lebanon'],-,-
Akkar,Country,LBN
['Abbasids'],-,-
['Lebanon'],-,-
Akkar,Country,LBN
['Aley'],Country,"Flag,Lebanon"
['Algeria'],-,-
['Argentina'],-,-
['Iraq'],-,-
Baabda,Country,"flagcountry,Lebanon"
['Beirut'],Country,Lebanon
['Bulgaria'],-,-
Canada,-,-
Chouf District,Country,"Flag,Lebanon"
Chouf District,Country,"Flag,Lebanon"
['Tripoli'],-,-
['Damascus'],Country,Syria
['Beirut'],Country,Lebanon
['Egypt'],-,-
-,-,-
['Abbasids'],-,-
['Lebanon'],-,-
Akkar,Country,LBN
['Aley'],Country,"Flag,Lebanon"
['Algeria'],-,-
['Argentina'],-,-
['Iraq'],-,-
Baabda,Country,"flagcountry,Lebanon"
['Beirut'],Country,Lebanon
['Bulgaria'],-,-
Canada,-,-
Chouf District,Country,"Flag,Lebanon"
Chouf District,Country,"Flag,Lebanon"
['Tripoli'],-,-
['Damascus'],Country,Syria
['Beirut'],Country,Lebanon
['Egypt'],-,-
-,-,-
['Fatimid Caliphate'],-,-
['France'],-,-
['Southern Lebanon'],-,-
['Hamdanids'],-,-
['Hasbaya'],Country,"Flag,Lebanon"
['Hermel'],Country,"Flag,Lebanon"
['Libya'],-,-
['Hittites'],-,-
['Ikhshidid dynasty'],-,-
['Iran'],-,-
['Iraq'],-,-
['Israel'],-,-
['Italy'],-,-
['Jordan'],-,-
['Egypt'],-,-
['Iraq'],-,-
['Jerusalem'],-,-
['الكورة'],Country,"Flag,Lebanon"
['Kuwait'],-,-
['Lebanon'],-,-
['Libya'],-,-
['Mamluk Sultanate of Egypt'],-,-
Marjayoun,Country,LBN
"lang,قضاء المتن,ar",Country,"Flag,Lebanon"
['Mirdasid'],-,-
['Morocco'],-,-
['Mount Lebanon Emirate'],-,-
Nabatieh,Country,"flagcountry,Lebanon"
['New Kingdom'],-,-
['North Korea'],-,-
['Ottoman Empire'],-,-
['Palestinian National Authority'],-,-
['Phoenicia'],-,-
['Rashaya'],Country,"Flag,Lebanon"
['Rashidun'],-,-
['Riyadh'],Country,Saudi Arabia
['Romania'],-,-
['Persia'],-,-
['Saudi Arabia'],-,-
Syrian Republic,-,-
['Seljuk Empire'],-,-
['Sidon'],Country,Lebanon
['South Yemen'],-,-
['the Soviet Union'],-,-
['Sudan'],-,-
['Syria'],-,-
['Taif'],Country,
['Tripoli'],Country,-
['Tulunid dynasty'],-,-
Umayyad Caliphate,-,-
['UAE'],-,-
['United Arab Republic'],-,-
['United Kingdom'],-,-
['the United States'],-,-
French State,-,-
['Beirut'],Country,Lebanon
Republic of Yemen,-,-
['Zahlé'],Country,"Flag,Lebanon"
['Zgharta'],Country,LBN
['Zgharta'],Country,LBN
