Name,Political Party,Nationality,Religion
"('Abbas al-Moussawi,big,ar,عباس الموسوي,lang,عباس الموسوي lang',)",-,Lebanese,Shia Islam
"('Abbas al-Moussawi,big,ar,عباس الموسوي,lang,عباس الموسوي lang',)",-,Lebanese,Shia Islam
"('Abu Nidal,lang,ar,أبو نضال',)",-,Palestinian,-
"('Alfred M. Gray Jr.',)",-,-,-
"('Ali Eid',)",Arab Democratic Party,-,-
"('Amine Gemayel',)",Kataeb Party,Lebanese,-
"('Amine Gemayel',)",Kataeb Party,Lebanese,-
"('Antoine Lahad',)",-,-,-
"('Ardeshir Hosseinpour',)",-,Iranian,-
"('A El Rayess',)",-,Lebanese,-
"('-',)",plainlist,-,-
"('lang,ar,بشير الجميّل,Bachir Gemayel',)",Kataeb Party,-,-
"('René Moawad<Br/> Nobold,رينيه معوض,ar,lang,رينيه معوض lang',)",Independent,-,-
"('عاصم قانصوه,ar,Nobold,عاصم قانصوه lang,Assem Qanso,lang',)",,-,-
"('Ruhollah Khomeini',)",-,Iranian,-
"('lang,ar,بشير الجميّل,Bachir Gemayel',)",Kataeb Party,-,-
"('lang,ar,بشير الجميّل,Bachir Gemayel',)",Kataeb Party,-,-
"('Camille Chamoun',)","Constitutional Bloc,National Liberal Party",-,-
"('-',)",,Israeli,-
"('Christopher Paget Mayhew',)",unbulleted list,-,-
"('Dany Chamoun',)",National Liberal Party,-,-
"('الياس الهراوي,Elias Hrawi',)",Independent,Lebanese,-
"('Élias Sarkis,إلياس سركيس',)",Chehabist,Lebanese,-
"('Elie Hobeika',)",-,Lebanese,-
"('Emmanuel Erskine',)",-,-,-
"('Étienne Saqr',)",Guardians of the Cedars,Lebanese,-
"('Fereydoon Abbasi Davani',)",Association of Islamic Revolution Loyalists,Iranian,-
"('Robert Fisk',)",-,-,-
"('Fouad Chehab',)",Independent,-,-
"('lang,جمال عبد الناصر,ar',)",Arab Socialist Union,Egyptian,-
"('Michel Aoun',)",Free Patriotic Movement,-,-
"('lang,ar,George Habash,جورج حبش',)",,Palestinian,-
"('جورج حاوي,ar,Nobold,جورج حاوي lang,George Hawi,lang',)","Democratic Left Movement Citation needed,November 2016,Lebanese Communist Party",Lebanese,-
"('Gustav Hägglund',)",-,-,-
"('Habib Tanious Shar,uni,حبيب الشرتوني',)",-,Lebanese,-
"('Hafez al-Assad',)",,-,-
"('Hafez al-Assad',)",,-,-
"('Hagop Hagopian',)",-,Armenian,-
"('Hagop Hagopian',)",-,Armenian,-
"('Hussein',)",-,-,Sunni Islam
"('Jim Muir',)",-,-,-
"('Joana Hadjithomas and Khalil Joreige',)",-,-,-
"('Kamal Jumblatt',)",Progressive Socialist Party,Lebanese,-
"('Khalil al-Wazir',)",-,-,-
"('Lina Murr Nehmé',)",-,-,-
"('Maarouf Saad,معروف سعد,معروف سعد lang,ar,Nobold,lang',)",Popular Nasserite Organization,Lebanese,-
"('Mahsum Korkmaz',)",-,-,-
"('Majid Shahriari',)",-,-,-
"('Malcolm Kerr',)",-,American,-
"('Marcia C. Inhorn',)",-,American,-
"('Masoud Alimohammadi',)",-,Iranian,-
"('-',)",-,-,-
"('Michel Aoun',)",Free Patriotic Movement,-,-
"('السيد محمد حسين فضل الله lang,السيد محمد حسين فضل الله,ar,Nobold,Muhammad Hussein Fadl-Allāh,lang',)",-,-,Twelver Shi`a Islam
"('Mohsen Fakhrizadeh',)",-,Iranian,-
"('Monte Melkonian',)",-,-,-
"('Musa al-Sadr',)",-,-,-
"('lang,مُصْطَفَى طَلَاس,ar,Mustafa Tlass',)","Was a member of the original Baath Party and its Syrian Regional Branch until 1966,Arab Socialist Baath Party – Syria Region of the Arab Socialist Baath Party",Syrian,-
"('Nabih Berri,نبيه بري',)",Amal Movement,Lebanese,-
"('Nabil Kanso',)",-,American,-
"('Noam Chomsky',)",-,-,-
"('عمر كرامي,عمر كرامي lang,Omar Karami,ar,Nobold,lang',)",Arab Liberation Party,Lebanese,-
"('Philip Habib',)",-,American,-
"('Pierre Gemayel',)",Kataeb Party,Lebanese,-
"('Itamar Rabinovich',)",-,-,-
"('رشيد كرامي </small>,Rashid Karami,ar',)","Associated,the Lebanese National Movement during the Lebanese Civil War.,Independent",Lebanese,-
"('-',)",-,-,-
"('Rafic Hariri',)",Future Movement,Lebanese and Saudi Arabian,-
"('Rageh Omaar',)",-,British,-
"('رشيد كرامي </small>,Rashid Karami,ar',)","Associated,the Lebanese National Movement during the Lebanese Civil War.,Independent",Lebanese,-
"('René Moawad<Br/> Nobold,رينيه معوض,ar,lang,رينيه معوض lang',)",Independent,-,-
"('René Moawad<Br/> Nobold,رينيه معوض,ar,lang,رينيه معوض lang',)",Independent,-,-
"('Robert Munsch',)",-,American / Canadian,-
"('-',)",,-,-
"('Saad Haddad',)",-,-,-
"('Saddam Hussein',)","National Progressive Front,plainlist",-,-
"('Kamal Salibi',)",-,Lebanese,-
"('Samir Geagea,ar,Nobold,lang,سمير جعجع,سمير جعجع lang',)",Lebanese Forces,Lebanese,-
"('سليم الحص,Selim Hoss',)",-,-,-
"('سليم الحص,Selim Hoss',)",-,-,-
"('شفيق الوزان lang,ar,Nobold,lang,Shafik Wazzan,شفيق الوزان',)",Independent,Lebanese,-
"('Shlomo Argov',)",-,Israeli,-
"('Souha Bechara,سهى  بشارة',)",-,Lebanese,-
"('صبحي الطفيلي,Subhi al-Tufayli',)",-,Lebanese,-
"('سليمان بك فرنجية,Suleiman Bey Frangieh',)",Marada Movement,-,-
"('Tony Frangieh,طوني فرنجية',)",Marada Brigade,Lebanese,-
"('Khalil al-Wazir',)",-,-,-
"('Walid Jumblatt',)",Progressive Socialist Party,-,-
"('William OCallaghan',)",-,-,-
"('Yasser Arafat',)",Fatah,Palestinian,-
