اسم التقسيم,نوع التقسيم,الاسم
"علم (راية) ,لبنان ",بلد ,-1
"علم (راية) ,لبنان ",بلد ,-1
إسرائيل ,بلد ,أسدود 
-,-,العراق 
"لبنان ,بلد العلم (مترجمه)",بلد ,بعبدا 
-,-,باربادوس 
لبنان ,بلد ,بيروت 
"علم (راية) ,لبنان ",بلد ,قضاء الشوف 
سوريا ,بلد ,دمشق 
,بلد ,الدامور 
-,-,جمهورية الدومينيكان 
-,-,مصر 
-,-,فرنسا 
-,-,جنوب لبنان 
"انظر وضع مرتفعات الجولان (مترجمه),مجموعة (توضيح) ,اعترفت الولايات المتحدة بالسيادة الإسرائيلية على الجولان في مارس / آذار. الولايات المتحدة هي أول دولة تعترف بالجولان كأرض إسرائيلية (مترجمه),بينما لا يزال باقي المجتمع الدولي يعتبرها أرضاً سورية محتلة من قبل إسرائيل (مترجمه),ملاحظة (مترجمه),معترف بها دوليًا باسم تيري السورية (مترجمه),ry التي تحتلها إسرائيل n (مترجمه)",حالة (مترجمه),هضبة الجولان 
"علم (مترجمه),إسرائيل ",بلد ,حيفا 
"علم (راية) ,لبنان ",بلد ,حاصبيا 
-,-,آيسلندا 
-,-,العراق 
-,-,إسرائيل 
-,-,ساحل العاج 
,بلد ,جزين 
-,-,الأردن 
-,-,مصر 
-,-,العراق 
-,-,الكويت 
-,-,لبنان 
-,-,ليبيا 
-,-,لوكسمبورغ 
-,-,المغرب 
"لبنان ,بلد العلم (مترجمه)",بلد ,النبطية 
"لبنان ,بلد العلم (مترجمه)",بلد ,النبطية 
-,-,النيجر 
-,-,كوريا الشمالية 
-,-,السلطة الوطنية الفلسطينية 
-,-,بابوا غينيا الجديدة 
"لبنان ,بلد العلم (مترجمه)",بلد ,-1
-,-,السعودية 
-,-,الجمهورية السورية (مترجمه)
لبنان ,بلد ,صيدا 
-,-,جمهورية اليمن الديمقراطية الشعبية 
-,-,الاتحاد السوفيتي 
-,-,سوريا 
,بلد ,الطيبة (المثلث) 
-,بلد ,طرابلس 
"علم (راية) ,لبنان ",بلد ,صور (توضيح) 
"علم (راية) ,لبنان ",بلد ,صور (توضيح) 
-,-,الإمارات العربية المتحدة 
-,-,الجمهورية العربية المتحدة 
-,-,المملكة المتحدة 
-,-,الولايات المتحدة 
-,-,اليمن 
-,-,اليمن الشمالي 
"علم (راية) ,لبنان ",بلد ,الزرارية 
