الاسم,الإيديولوجيا,الموقف السياسي,المؤسس (المؤسسون)
فتح - المجلس الثوري (مترجمه),"علمانية ,معاداة الصهيونية ,قومية فلسطينية ",-,
فتح - المجلس الثوري (مترجمه),"علمانية ,معاداة الصهيونية ,قومية فلسطينية ",-,
كتائب شهداء الاقصى (مترجمه),"اشتراكية ,معاداة الصهيونية ,قومية فلسطينية ",-,
,"قومية عربية ,معاداة الاستعمارية ,التيار الناصري ,العروبة (مترجمه),اشتراكية عربية ",يسارية ,
حركة أمل ,"شعبوية ,سياسة محافظة ",مركزية (مترجمه),"نبيه بري ,موسى الصدر (مترجمه)"
جيش الإنقاذ ,"قومية عربية ,معاداة الصهيونية ,العروبة (مترجمه)",-,
جبهة التحرير العربية ,"النيوباثية (مترجمه),بعثية ,قومية فلسطينية ,بعثية ",-,
جيش الإسلام (مترجمه),"الجهادية (مترجمه),إسلاموية ,السلفية ",-,
جيش الجهاد المقدس ,معاداة الصهيونية ,-,
,"العروبة (مترجمه),بعثية ",-,
منظمة أيلول الأسود ,القومية الفلسطينية معاداة الصهيونية (مترجمه),-,
الجبهة الديمقراطية لتحرير فلسطين ,"ماركسية لينينية ,معاداة الصهيونية ,شيوعية ,قومية فلسطينية ,القومية اليسارية (مترجمه)",أقصى اليسار (مترجمه),
حركة فتح ,"علمانية ,قومية فلسطينية ,ديمقراطية اجتماعية ","سنترليفت (مترجمه),يسارية ",
حراس الأرز ,"ضد الفلسطينيين (مترجمه),محافظة اجتماعية ,قومية لبنانية ,قومية فينيقية ,عصبية قومية ,مكافحة العربية (مترجمه)",-,
الجبهة الديمقراطية للسلام والمساواة ,"ماركسية لينينية ,حل ذو دولتين (مترجمه),شيوعية ,غير صهيونية (مترجمه),المصالح العربية الإسرائيلية (مترجمه)",Leftwing إلى farleft (مترجمه),
حركة حماس ,"القومية الدينية (مترجمه),شرطة (علامة) ,قائمة عادية (مترجمه),إنذار بالدفع (مترجمه),- معاداة الصهيونية (مترجمه),معاداة الشيوعية ,ص (مترجمه),دالاكورا (مترجمه),شرطة (علامة) ,الإسلاموية sfn (مترجمه),- سنف (مترجمه),معاداة الصهيونية ,شيما (مترجمه),إسلاموية ,قومية فلسطينية ,- مناهضة الشيوعية sfn (مترجمه),ابن (مترجمه),معاداة السامية ,القومية الدينية sfn (مترجمه),ستيبانوفا (مترجمه),- سنف (مترجمه),معاداة السامية sfn (مترجمه),ليتوانيا (مترجمه),شرطة (علامة) ",-,"إسماعيل هنية ,ليفيت (مترجمه),موسى ابو مرزوق وخالد مشعل صفن (مترجمه)"
حزب الله ,"معاداة الاستعمارية ,أنتيويست (مترجمه),معاداة الصهيونية ,خمينية ,جهاد الشيعة (مترجمه),القومية الإسلامية (مترجمه),عقيدة الإسلام (مترجمه),معاداة السامية ,قائمة بدون تعداد نقطي (مترجمه)",-,حسن نصر الله 
حركة الجهاد الاسلامي (مترجمه),"معاداة الصهيونية ,إسلاموية ,قومية فلسطينية ,القومية الإسلامية (مترجمه),الجهادية (مترجمه)",-,
حركة التوحيد الإسلامي ,إسلاموية ,-,
الجيش الأحمر الياباني ,"شيوعية ,ماركسية لينينية ,معاداة الاستعمارية ,ماوية ",-,
حزب الكتائب اللبنانية (مترجمه),"معاداة الشيوعية ,الكتائب (مترجمه),محافظة اجتماعية ,قومية لبنانية ,ديمقراطية مسيحية ,مارونية سياسية ","مركزية (مترجمه),يمينية ,اقصى اليمين (مترجمه)","سامي الجميل ,بيار الجميل "
