الدين,الجنسيه,الحزب السياسي,الاسم
الشيعة ,لبناني (مترجمه),-,عباس الموسوي (مترجمه)
-,فلسطينيون ,-,-1
-,-,جمهوري (مترجمه),ألكسندر هيغ 
-,-,قائمة عادية (مترجمه),أرئيل شارون 
-,-,حزب الكتائب اللبنانية ,بشير الجميل 
-,-,مستقل (توضيح) ,رينيه معوض 
-,إسرائيلي (مترجمه),-,أفي شلايم 
-,-,حزب الكتائب اللبنانية ,بشير الجميل 
-,-,حزب الكتائب اللبنانية ,بشير الجميل 
-,إسرائيلي (مترجمه),-,بيني موريس 
-,-,جمهوري (مترجمه),كاسبار واينبرغر 
-,إسرائيلي (مترجمه),,حاييم هرتصوغ 
-,-,-,ديفيد إيفري (مترجمه)
-,-,-,ديفيد ايفري (مترجمه)
-,لبناني (مترجمه),,إلياس سركيس 
-,لبناني (مترجمه),-,إيلي حبيقة 
-,-,-,فادي أفرام 
-,-,-,غازيت شلومو (مترجمه)
-,لبناني (مترجمه),"نوفمبر ,الحزب الشيوعي اللبناني ,الحاجة إلى اقتباس من حركة اليسار الديمقراطي (مترجمه)",جورج حاوي 
-,-,ديمقراطي (مترجمه),جورج بال (دبلوماسي) 
-,لبناني (مترجمه),-,-1
-,-,,-1
-,النيجر (مترجمه),-,ايد أومارو 
-,لبناني (مترجمه),حزب الله ,-1
-,-,المؤتمر الوطني الأفريقي ,قادر أسمال (مترجمه)
-,-,-,كاي بيرد 
-,-,حزب الشعب النمساوي ,كورت فالدهايم 
-,-,-,ليو كوبر (مترجمه)
-,-,-,محسوم كوركماز (مترجمه)
-,بريطاني (مترجمه),-,مارتن جيلبرت (مترجمه)
-,-,-,مئير فيلنر (مترجمه)
-,-,-,مناحم بيجن 
-,-,-,مونتي ملكونيان (مترجمه)
-,لبناني (مترجمه),"جبهة المقاومة الوطنية اللبنانية ,منظمة العمل الشيوعي في لبنان ,الحركة الوطنية اللبنانية ,حركة القوميين العرب ,منظمة الاشتراكيين اللبنانيين ",محسن إبراهيم 
-,-,-,مراد قرايلان 
-,سوريون ,"حزب البعث العربي الاشتراكي - منطقة سوريا التابعة لحزب البعث العربي الاشتراكي (مترجمه),كان عضوا في حزب البعث الأصلي وفرعه الإقليمي السوري حتى (مترجمه)",مصطفى طلاس 
-,لبناني (مترجمه),حركة أمل ,نبيه بري 
-,-,-,نعوم تشومسكي 
-,-,-,عوفر شيلح 
-,-,-,-1
-,بريطاني (مترجمه),-,باتريك سيل 
-,أمريكي (مترجمه),-,-1
-,-,-,رفائيل إيتان (11 يناير 1929) 
-,لبناني و سعودي (مترجمه),تيار المستقبل ,رفيق الحريري 
-,لبناني (مترجمه),-,-1
-,لبناني (مترجمه),"مستقل (توضيح) ,مرتبط (مترجمه),الحركة الوطنية اللبنانية خلال الحرب الأهلية اللبنانية (مترجمه)",رشيد كرامي 
-,-,-,ريتشارد أ. فلك 
-,-,-,روبرت فيسك 
-,-,,رونالد ريغان 
-,-,-,-1
-,فلسطينيون ,-,-1
-,-,-,سعيد المراغة (مترجمه)
-,ايرلندية (مترجمه),أبناء الجمهورية (مترجمه),شون ماكبرايد 
-,إسرائيلي (مترجمه),-,شلومو أرجوف 
-,-,-,شولاميت ألوني 
-,-,-,توماس فريدمان 
-,-,-,خليل الوزير 
-,فلسطينيون ,حركة فتح ,-1
-,-,-,ييكوتيل آدم (مترجمه)
-,الروسية (مترجمه),"الحزب الشيوعي السوفيتي ,الوطن - كل روسيا (مترجمه),مستقل (توضيح) ",يفكيني بريماكوف 
-,-,-,يوسي سريد 
-,-,-,زئيف الموج (مترجمه)
