Name,Political Party,Nationality,Religion
Abbas al-Moussawi,-,Lebanese,Shia Islam
Abu Nidal,-,Palestinian,-
Alexander Haig,Republican,-,-
-,plainlist,-,-
Bachir Gemayel,Kataeb Party,-,-
René Moawad<Br/> Nobold,Independent,-,-
Avi Shlaim,-,Israeli,-
Bachir Gemayel,Kataeb Party,-,-
Bachir Gemayel,Kataeb Party,-,-
Benny Morris,-,Israeli,-
Caspar Weinberger,Republican,-,-
-,,Israeli,-
David Ivry,-,-,-
David Ivry,-,-,-
Élias Sarkis,Chehabist,Lebanese,-
Elie Hobeika,-,Lebanese,-
Fadi Frem,-,-,-
שלמה גזית,-,-,-
George Hawi,"November 2016,Lebanese Communist Party,Democratic Left Movement Citation needed",Lebanese,-
George Ball,Democratic,-,-
Habib Tanious Shar,-,Lebanese,-
Hafez al-Assad,,-,-
Ide Oumarou,-,Nigerien,-
Imad Mughniyeh,Hezbollah,Lebanese,-
Kader Asmal,African National Congress,-,-
Kai Bird,-,-,-
Kurt Waldheim,Austrian Peoples Party,-,-
-,-,-,-
Mahsum Korkmaz,-,-,-
Sir Martin Gilbert,-,British,-
-,-,-,-
-,-,-,-
Monte Melkonian,-,-,-
Mohsin Ibrahim,"Lebanese National Resistance Front,Communist Action Organization in Lebanon,Lebanese National Movement,Arab Nationalist Movement,Organization of Lebanese Socialists",Lebanese,-
Murat Karayılan,-,-,-
Mustafa Tlass,"Arab Socialist Baath Party – Syria Region of the Arab Socialist Baath Party,Was a member of the original Baath Party and its Syrian Regional Branch until 1966",Syrian,-
Nabih Berri,Amal Movement,Lebanese,-
Noam Chomsky,-,-,-
-,-,-,-
Osama bin Laden,-,-,-
Patrick Seale,-,British,-
Philip Habib,-,American,-
-,-,-,-
Rafic Hariri,Future Movement,Lebanese and Saudi Arabian,-
Ragheb Harb,-,Lebanese,-
Rashid Karami,"Independent,Associated,the Lebanese National Movement during the Lebanese Civil War.",Lebanese,-
Richard Falk,-,-,-
Robert Fisk,-,-,-
-,,-,-
Saad Haddad,-,-,-
Saad Sayel,-,Palestinian,-
Saeed Muragha,-,-,-
Seán MacBride,Clann na Poblachta,Irish,-
Shlomo Argov,-,Israeli,-
-,-,-,-
Thomas Friedman,-,-,-
Khalil al-Wazir,-,-,-
Yasser Arafat,Fatah,Palestinian,-
Yekutiel Adam,-,-,-
Yevgeny Primakov,"Communist Party of the Soviet Union,Fatherland – All Russia,Independent",Russian,-
-,-,-,-
Zeev Almog,-,-,-
