الاسم,الإيديولوجيا,الموقف السياسي,المؤسس (المؤسسون)
,"العروبة (مترجمه),بعثية ",-,
الكتلة الدستورية (مترجمه),"ميثاق برونيشونال (مترجمه),اللاطائفية ,قومية مدنية ",مركز علماني (مترجمه),
التيار الوطني الحر ,"مصادر مختلفة تزعم القومية المدنية والقومية المسيحية (مترجمه),قومية مدنية ,ليبرالية ,ديمقراطية مسيحية ",خيمة كبيرة (سياسة) ,
حزب الكتائب اللبنانية (مترجمه),"مارونية سياسية ,قومية لبنانية ,معاداة الشيوعية ,الكتائب (مترجمه),ديمقراطية مسيحية ,محافظة اجتماعية ","مركزية (مترجمه),يمينية ,اقصى اليمين (مترجمه)","سامي الجميل ,بيار الجميل "
القوات اللبنانية ,"محافظة وطنية ,محافظة ليبرالية ,قومية مسيحية ,قومية لبنانية ",يمينية ,"سمير جعجع ,بشير الجميل "
القوات اللبنانية ,"سياسة محافظة ,قومية مسيحية ",-,
الجبهة اللبنانية ,"أنتيبان (مترجمه),قومية لبنانية ,معاداة الشيوعية ",-,
الكتلة الوطنية (توضيح) ,"الفرانكوفيلية (مترجمه),علمانية ,قومية لبنانية ,محافظة ليبرالية ,ليبرالية ",مركز (توضيح) ,
تيار المردة ,"عموم سوريا (مترجمه),قومية لبنانية ,ديمقراطية مسيحية ",يمينية ,"سليمان فرنجية ,الابن (مترجمه),سليمان فرنجية "
الحزب الوطني الليبرالي (مترجمه),"ليبرالية وطنية ,قومية لبنانية ,ليبرالية اقتصادية ",مركزية (مترجمه),"كميل دوري شمعون (مترجمه),روبرت خوري (مترجمه),بيير جيرا (مترجمه),كميل شمعون "
منظمة التحرير الفلسطينية ,قومية فلسطينية ,-,
الحزب السوري القومي الاجتماعي ,"الوحدوية السورية (مترجمه),قومية اقتصادية ,نفى رسميا (مترجمه),عموم سوريا (مترجمه),الصفحة المطلوبة (مترجمه),علمانية ,أغسطس ,القومية السورية ,قومية يسارية ,نفى رسميا قائمة قابلة للطي (مترجمه),هناك حاجة إلى صفحة مناهضة الشيوعية (مترجمه),معاداة السامية ,معاداة الصهيونية ","قائمة Leftwing قابلة للطي (مترجمه),توفيق بين الأديان ",فارس السعد (مترجمه)
