الدين,الجنسيه,الحزب السياسي,الاسم
-,-,حزب الكتائب اللبنانية ,ألفرد نقاش 
-,لبناني (مترجمه),حزب الكتائب اللبنانية ,أمين الجميل 
-,-,قائمة عادية (مترجمه),أرئيل شارون 
-,-,-,أيوب ثابت 
-,-,الكتلة الدستورية (مترجمه),-1
-,-,"الكتلة الدستورية (مترجمه),الحزب الوطني الليبرالي (مترجمه)",كميل شمعون 
-,-,-,شارل دباس 
-,لبناني (مترجمه),-,شارل حلو 
-,-,الحزب الوطني الليبرالي (مترجمه),داني شمعون 
-,لبناني (مترجمه),مستقل (توضيح) ,إلياس الهراوي 
-,لبناني (مترجمه),-,إيلي حبيقة 
-,-,-,فادي أفرام 
-,-,-,-1
-,-,تيار المستقبل ,فؤاد السنيورة 
-,-,مستقل (توضيح) ,فؤاد شهاب 
-,لبناني (مترجمه),التيار الوطني الحر ,جبران باسيل 
-,لبناني (مترجمه),-,جينيفيف الجميل 
-,لبناني (مترجمه),"الحاجة إلى اقتباس من حركة اليسار الديمقراطي (مترجمه),نوفمبر ,الحزب الشيوعي اللبناني ",جورج حاوي 
-,-,-,-1
-,لبناني (مترجمه),-,-1
-,-,,-1
-,فلسطينيون ,-,هاني الحسن (مترجمه)
-,لبناني (مترجمه),الحزب التقدمي الاشتراكي ,كمال جنبلاط 
-,لبناني (مترجمه),-,-1
-,-,-,مناحم بيجن 
-,-,التيار الوطني الحر ,ميشال عون 
-,-,مستقل (توضيح) ,ميشال سليمان 
-,لبناني (مترجمه),حزب الكتائب اللبنانية ,نديم الجميل 
-,-,-,بترو طراد 
-,أمريكي (مترجمه),-,-1
-,-,-,فيليب بيتان 
-,لبناني (مترجمه),حزب الكتائب اللبنانية ,بيار أمين الجميل 
-,لبناني (مترجمه),حزب الكتائب اللبنانية ,بيار الجميل 
-,الفرنسيون في لبنان ,-,-1
-,-,مستقل (توضيح) ,رينيه معوض 
-,-,,رونالد ريغان 
-,لبناني (مترجمه),حزب الكتائب اللبنانية ,سامي الجميل 
-,لبناني (مترجمه),القوات اللبنانية ,سمير جعجع 
-,-,-,سليم الحص 
-,لبناني (مترجمه),مستقل (توضيح) ,شفيق الوزان 
-,لبناني (مترجمه),حزب الكتائب اللبنانية ,صولانج الجميل 
-,-,تيار المردة ,سليمان فرنجية 
-,-,تيار المستقبل ,-1
-,لبناني (مترجمه),جيش التحرير الزغرتاوي ,طوني فرنجية 
-,فلسطينيون ,حركة فتح ,-1
-,-,حتزوهار (مترجمه),زئيف جابوتينسكي 
-,لبناني (مترجمه),,إلياس سركيس 
-,-,الكتلة الوطنية (توضيح) ,إميل إده 
-,-,مستقل (توضيح) ,إميل لحود 
