اسم التقسيم,نوع التقسيم,الاسم
"لبنان ,علم (راية) ",بلد ,آبي (مترجمه)
"لبنان ,علم (راية) ",بلد ,عاليه (لبنان) 
"لبنان ,علم (راية) ",بلد ,-1
لبنان ,بلد ,أب (مترجمه)
"لبنان ,بلد العلم (مترجمه)",بلد ,بعبدا 
"لبنان ,علم (راية) ",بلد ,منطقة Boutchay (مترجمه)
لبنان ,بلد ,بيروت 
"لبنان ,بلد العلم (مترجمه)",بلد ,-1
لبنان ,بلد ,بحمدون 
"لبنان ,علم (راية) ",بلد ,بسوس 
لبنان ,بلد ,جبيل 
"لبنان ,علم (راية) ",بلد ,-1
"لبنان ,علم (راية) ",بلد ,قضاء الشوف 
-,-,قبرص 
سوريا ,بلد ,دمشق 
,بلد ,الدامور 
"لبنان ,بلد العلم (مترجمه)",بلد ,-1
"لبنان ,بلد العلم (مترجمه)",بلد ,ضهور الشوير 
"لبنان ,بلد العلم (مترجمه)",بلد ,درة (مترجمه)
لبنان ,بلد ,بيروت 
لبنان ,بلد ,-1
-,-,فرنسا 
"لبنان ,علم (راية) ",بلد ,بيروت الكبرى (مترجمه)
لبنان ,بلد ,الحدث الحمراء 
لبنان ,بلد ,الحدث الحمراء 
لبنان ,بلد ,حالات (مترجمه)
"لبنان ,بلد العلم (مترجمه)",بلد ,حمانا 
-,-,إسرائيل 
-,-,الأردن 
لبنان ,بلد ,كفرسلوان 
"لبنان ,علم (راية) ",بلد ,كيفون 
"لبنان ,علم (راية) ",بلد ,قضاء كسروان 
"لبنان ,علم (راية) ",بلد ,كفر شيما 
-,-,لبنان 
"لبنان ,علم (راية) ",بلد ,لانغ (توضيح) 
-,-,إمارة جبل لبنان 
"لبنان ,بلد العلم (مترجمه)",بلد ,رأس المتن (مترجمه)
"لبنان ,بلد العلم (مترجمه)",بلد ,رأس المتن (مترجمه)
لبنان ,بلد ,سليمة (مترجمه)
-,-,السعودية 
لبنان ,بلد ,كازينو صوفر سرسق الكبير (مترجمه)
لبنان ,بلد ,صيدا 
"لبنان ,بلد العلم (مترجمه)",بلد ,سن الفيل (مترجمه)
"لبنان ,بلد العلم (مترجمه)",بلد ,-1
-,-,سويسرا 
-,-,سوريا 
-,بلد ,طرابلس 
"لبنان ,علم (راية) ",بلد ,صور (توضيح) 
-,-,الولايات المتحدة 
لبنان ,بلد ,بيروت 
"لبنان ,بلد العلم (مترجمه)",بلد ,يرزة 
"لبنان ,بلد العلم (مترجمه)",بلد ,ذوق مكايل 
