الاسم,الإيديولوجيا,الموقف السياسي,المؤسس (المؤسسون)
,"معاداة الاستعمارية ,التيار الناصري ,قومية عربية ,العروبة (مترجمه),اشتراكية عربية ",يسارية ,
,"بعثية ,العروبة (مترجمه)",-,
حركة فتح ,"علمانية ,ديمقراطية اجتماعية ,قومية فلسطينية ","سنترليفت (مترجمه),يسارية ",
حزب الكتائب اللبنانية (مترجمه),"ديمقراطية مسيحية ,محافظة اجتماعية ,قومية لبنانية ,الكتائب (مترجمه),معاداة الشيوعية ,مارونية سياسية ","يمينية ,اقصى اليمين (مترجمه),مركزية (مترجمه)","سامي الجميل ,بيار الجميل "
الحزب الشيوعي اللبناني ,"شيوعية ,ماركسية لينينية ",أقصى اليسار (مترجمه),
القوات اللبنانية ,"قومية لبنانية ,محافظة ليبرالية ,محافظة وطنية ,قومية مسيحية ",يمينية ,"سمير جعجع ,بشير الجميل "
القوات اللبنانية ,"سياسة محافظة ,قومية مسيحية ",-,
الحزب الوطني الليبرالي (مترجمه),"ليبرالية وطنية ,ليبرالية اقتصادية ,قومية لبنانية ",مركزية (مترجمه),"كميل دوري شمعون (مترجمه),روبرت خوري (مترجمه),بيير جيرا (مترجمه),كميل شمعون "
منظمة التحرير الفلسطينية ,قومية فلسطينية ,-,
الجبهة الشعبية لتحرير فلسطين ,"معاداة الاستعمارية ,معاداة الصهيونية ,اشتراكية ثورية ,قومية فلسطينية ,العروبة (مترجمه),قومية عربية ,ماركسية لينينية ,حل واحد (مترجمه),علمانية ",أقصى اليسار (مترجمه),
الحزب التقدمي الاشتراكي ,"قومية عربية ,طرف خارجي ,العروبة (مترجمه),ديمقراطية اجتماعية ,الاشتراكية الديمقراطية ","مركز (توضيح) ,الوسط (مترجمه),يسارية ",
الحزب السوري القومي الاجتماعي ,"نقابوية ,أغسطس ,نفى رسميا قائمة قابلة للطي (مترجمه),عموم سوريا (مترجمه),هناك حاجة إلى صفحة مناهضة الشيوعية (مترجمه),معاداة الصهيونية ,القومية السورية ,الصفحة المطلوبة (مترجمه),الوحدوية السورية (مترجمه),قومية يسارية ,علمانية ,نفى رسميا (مترجمه)","توفيق بين الأديان ,يسارية ",
