الدين,الجنسيه,الحزب السياسي,الاسم
-,لبناني (مترجمه),حزب الكتائب اللبنانية ,أمين الجميل 
-,لبناني (مترجمه),حزب الكتائب اللبنانية ,أمين الجميل 
-,-,قائمة عادية (مترجمه),أرئيل شارون 
-,-,حزب الكتائب اللبنانية ,بشير الجميل 
-,-,مستقل (توضيح) ,رينيه معوض 
-,-,حزب الكتائب اللبنانية ,بشير الجميل 
-,-,-,بوبي غودمان 
-,لبناني (مترجمه),-,إيلي حبيقة 
-,-,-,مجيد أرسلان 
-,-,-,فادي أفرام 
-,-,-,-1
-,-,"الاتحاد الديمقراطي والاشتراكي للمقاومة (مترجمه),صليب النار (مترجمه),اتفاقية المؤسسات الجمهورية (مترجمه),الحزب الاشتراكي (مترجمه),طول (مترجمه)",فرنسوا ميتران 
-,-,جمهوري (مترجمه),جورج بوش الأب 
-,لبناني (مترجمه),"الحاجة إلى اقتباس من حركة اليسار الديمقراطي (مترجمه),نوفمبر ,الحزب الشيوعي اللبناني ",جورج حاوي 
-,سوريون ,الفرع الإقليمي السوري لحزب البعث العربي الاشتراكي (مترجمه),غازي كنعان 
-,-,,-1
-,-,مستقل (توضيح) ,-1
-,لبناني (مترجمه),,-1
-,-,-,إيتامار رابينوفيتش 
-,-,-,-1
-,-,-,مناحم بيجن 
-,-,التيار الوطني الحر ,ميشال عون 
-,لبناني (مترجمه),حركة أمل ,نبيه بري 
-,-,-,نصر الله بطرس صفير 
-,لبناني (مترجمه),"مرتبط (مترجمه),الحركة الوطنية اللبنانية خلال الحرب الأهلية اللبنانية (مترجمه),مستقل (توضيح) ",رشيد كرامي 
-,أمريكي (مترجمه),-,روبرت أميس مسؤول وكالة المخابرات المركزية (مترجمه)
-,-,-,روبرت فيسك 
-,-,,رونالد ريغان 
-,لبناني (مترجمه),القوات اللبنانية ,سمير جعجع 
-,لبناني (مترجمه),مستقل (توضيح) ,شفيق الوزان 
-,-,الحزب التقدمي الاشتراكي ,وليد جنبلاط 
