Name,Political Party,Nationality,Religion
Amine Gemayel,Kataeb Party,Lebanese,-
Amine Gemayel,Kataeb Party,Lebanese,-
-,plainlist,-,-
Bachir Gemayel,Kataeb Party,-,-
René Moawad<Br/> Nobold,Independent,-,-
Bachir Gemayel,Kataeb Party,-,-
Robert O. Goodman,-,-,-
Elie Hobeika,-,Lebanese,-
Majid Toufic Arslan,-,-,-
Fadi Frem,-,-,-
Fouad Abou Nader,-,-,-
-,"ublist,Democratic and Socialist Union of the Resistance,Cross of Fire,Convention of Republican Institutions,Socialist Party,longitem",-,-
-,Republican,-,-
George Hawi,"Democratic Left Movement Citation needed,November 2016,Lebanese Communist Party",Lebanese,-
Ghazi Kanaan,Syrian Regional Branch of the Arab Socialist Baath Party,Syrian,-
Hafez al-Assad,,-,-
Ibrahim Tannous,Independent,-,-
-,,Lebanese,-
Itamar Rabinovich,-,-,-
Majid Toufic Arslan,-,-,-
-,-,-,-
Michel Aoun,Free Patriotic Movement,-,-
Nabih Berri,Amal Movement,Lebanese,-
Nasrallah Boutros Sfeir,-,-,-
Rashid Karami,"Associated,the Lebanese National Movement during the Lebanese Civil War.,Independent",Lebanese,-
Robert Ames,-,American,-
Robert Fisk,-,-,-
-,,-,-
Samir Geagea,Lebanese Forces,Lebanese,-
Shafik Wazzan,Independent,Lebanese,-
Walid Jumblatt,Progressive Socialist Party,-,-
