الدين,الجنسيه,الحزب السياسي,الاسم
-,فلسطينيون ,-,-1
-,إسرائيلي (مترجمه),-,أهارون باراك 
-,-,-,أمير دروري (مترجمه)
-,-,-,عاموس يارون (مترجمه)
-,-,قائمة عادية (مترجمه),أرئيل شارون 
-,-,حزب الكتائب اللبنانية ,بشير الجميل 
-,-,مستقل (توضيح) ,رينيه معوض 
-,-,حزب الكتائب اللبنانية ,بشير الجميل 
-,-,حزب الكتائب اللبنانية ,بشير الجميل 
-,إسرائيلي (مترجمه),-,بيني موريس 
-,"أمريكي (مترجمه),بريطاني (مترجمه)",-,برنارد لويس 
-,-,-,ديفيد ليفي سياسي إسرائيلي (مترجمه)
-,لبناني (مترجمه),-,إيلي حبيقة 
-,لبناني (مترجمه),-,-1
-,أمريكي (مترجمه),-,جانيت لي ستيفنز (مترجمه)
-,-,-,ليو كوبر (مترجمه)
-,-,-,مناحم بيجن 
اليهودية ,-,-,موشيه ليفي 
-,-,-,نعوم تشومسكي 
-,أمريكي (مترجمه),-,-1
-,-,-,رفائيل إيتان (11 يناير 1929) 
-,-,-,رفائيل إيتان (11 يناير 1929) 
-,لبناني (مترجمه),"مستقل (توضيح) ,مرتبط (مترجمه),الحركة الوطنية اللبنانية خلال الحرب الأهلية اللبنانية (مترجمه)",رشيد كرامي 
-,-,-,روبرت فيسك 
-,-,-,رون بنييشاي (مترجمه)
-,-,-,-1
-,-,-,-1
-,ايرلندية (مترجمه),أبناء الجمهورية (مترجمه),شون ماكبرايد 
-,إسرائيلي (مترجمه),-,شلومو أرجوف 
-,-,-,توماس فريدمان 
-,-,-,توماس إل فريدمان (مترجمه)
-,-,-,وليام شاباس 
-,-,-,يهوشوا ساغي (مترجمه)
-,-,-,إسحاق كوهن (قاضي) 
-,إسرائيلي (مترجمه),,إسحاق شامير 
-,-,-,يوسي ألفر (مترجمه)
