اسم التقسيم,نوع التقسيم,الاسم
-,-,الجزائر 
-,-,فلسطين (توضيح) 
-,-,العراق 
لبنان ,بلد ,بيروت 
سوريا ,بلد ,دمشق 
-,-,مصر 
-,-,فرنسا 
-,-,اليونان 
-,-,العراق 
-,-,إسرائيل 
-,-,الأردن 
-,-,مصر 
-,-,العراق 
-,-,الكويت 
-,-,لبنان 
-,-,ليبيا 
-,-,المغرب 
-,-,كوريا الشمالية 
-,-,السلطة الوطنية الفلسطينية 
-,-,السعودية 
-,-,الجمهورية السورية (مترجمه)
لبنان ,بلد ,صيدا 
-,-,الاتحاد السوفيتي 
-,-,السودان 
-,-,سوريا 
-,بلد ,طرابلس 
تونس ,بلد ,تونس (مدينة) 
-,-,تونس 
"علم (راية) ,لبنان ",بلد ,صور (توضيح) 
-,-,الإمارات العربية المتحدة 
-,-,الجمهورية العربية المتحدة 
-,-,المملكة المتحدة 
-,-,الولايات المتحدة 
-,-,اليمن 
