الاسم,الإيديولوجيا,الموقف السياسي,المؤسس (المؤسسون)
كتائب شهداء الاقصى (مترجمه),"معاداة الصهيونية ,اشتراكية ,قومية فلسطينية ",-,
,"العروبة (مترجمه),معاداة الاستعمارية ,قومية عربية ,اشتراكية عربية ,التيار الناصري ",يسارية ,
حركة أمل ,"شعبوية ,سياسة محافظة ",مركزية (مترجمه),"نبيه بري ,موسى الصدر (مترجمه)"
جيش الإنقاذ ,"معاداة الصهيونية ,العروبة (مترجمه),قومية عربية ",-,
جبهة التحرير العربية ,"النيوباثية (مترجمه),بعثية ,قومية فلسطينية ,بعثية ",-,
حزب البعث العربي الاشتراكي (لبنان) ,بعثية ,-,
جيش الإسلام (مترجمه),"السلفية ,الجهادية (مترجمه),إسلاموية ",-,
جيش الجهاد المقدس ,معاداة الصهيونية ,-,
,"العروبة (مترجمه),بعثية ",-,
منظمة أيلول الأسود ,القومية الفلسطينية معاداة الصهيونية (مترجمه),-,
منظمة العمل الشيوعي في لبنان ,"ماركسية لينينية ,اشتراكية ,شيوعية ",يسارية ,
الجبهة الديمقراطية لتحرير فلسطين ,"شيوعية ,معاداة الصهيونية ,ماركسية لينينية ,القومية اليسارية (مترجمه),قومية فلسطينية ",أقصى اليسار (مترجمه),
حركة فتح ,"علمانية ,قومية فلسطينية ,ديمقراطية اجتماعية ","سنترليفت (مترجمه),يسارية ",
التيار الوطني الحر ,"ليبرالية ,مصادر مختلفة تزعم القومية المدنية والقومية المسيحية (مترجمه),ديمقراطية مسيحية ,قومية مدنية ",خيمة كبيرة (سياسة) ,
حراس الأرز ,"قومية لبنانية ,ضد الفلسطينيين (مترجمه),قومية فينيقية ,محافظة اجتماعية ,عصبية قومية ,مكافحة العربية (مترجمه)",-,
حركة حماس ,"القومية الدينية (مترجمه),- سنف (مترجمه),معاداة السامية sfn (مترجمه),معاداة السامية ,- مناهضة الشيوعية sfn (مترجمه),قائمة عادية (مترجمه),- سنف (مترجمه),ص (مترجمه),معاداة الشيوعية ,شرطة (علامة) ,- معاداة الصهيونية (مترجمه),معاداة الصهيونية ,شرطة (علامة) ,الإسلاموية sfn (مترجمه),شرطة (علامة) ,شيما (مترجمه),قومية فلسطينية ,ستيبانوفا (مترجمه),إسلاموية ,ابن (مترجمه),ليتوانيا (مترجمه),دالاكورا (مترجمه),القومية الدينية sfn (مترجمه),إنذار بالدفع (مترجمه)",-,"إسماعيل هنية ,موسى ابو مرزوق وخالد مشعل صفن (مترجمه),ليفيت (مترجمه)"
حزب الله ,"القومية الإسلامية (مترجمه),قائمة بدون تعداد نقطي (مترجمه),معاداة الاستعمارية ,أنتيويست (مترجمه),معاداة السامية ,معاداة الصهيونية ,عقيدة الإسلام (مترجمه),جهاد الشيعة (مترجمه),خمينية ",-,حسن نصر الله 
حركة الجهاد الاسلامي (مترجمه),"القومية الإسلامية (مترجمه),الجهادية (مترجمه),معاداة الصهيونية ,قومية فلسطينية ,إسلاموية ",-,
الجيش الأحمر الياباني ,"ماركسية لينينية ,ماوية ,معاداة الاستعمارية ,شيوعية ",-,
حزب الكتائب اللبنانية (مترجمه),"قومية لبنانية ,معاداة الشيوعية ,الكتائب (مترجمه),محافظة اجتماعية ,ديمقراطية مسيحية ,مارونية سياسية ","يمينية ,اقصى اليمين (مترجمه),مركزية (مترجمه)","سامي الجميل ,بيار الجميل "
