الدين,الجنسيه,الحزب السياسي,الاسم
-,-,-,-1
-,فلسطينيون ,,-1
-,-,حركة فتح ,صلاح خلف 
-,-,-,خليل الوزير 
-,فلسطينيون ,-,-1
-,فلسطينيون ,-,أحمد جبريل 
-,-,-,-1
-,-,-,علي حسن سلامة 
-,-,-,عامي أيالون 
الإسلام ,-,اللجنة العربية العليا ,-1
-,إسرائيلي (مترجمه),العمل (مترجمه),أمنون ليبكين شاك (مترجمه)
-,-,قائمة عادية (مترجمه),أرئيل شارون 
-,-,-,آفي ديختر 
-,إسرائيلي (مترجمه),-,أفي شلايم 
-,-,حزب الكتائب اللبنانية ,بشير الجميل 
-,-,ليكود ,بنيامين نتنياهو 
-,إسرائيلي (مترجمه),-,بيني موريس 
-,-,-,دان حالوتس 
-,-,-,داني ياتوم 
-,"أوت (مترجمه),إمبراطورية الرجل (مترجمه),يرسل (مترجمه),فلسطين (مترجمه),إسرائيل ,صورة العلم (مترجمه)",Poale Zion Ahdut Haafoda Mapai Rafi القائمة الوطنية (مترجمه),ديفيد بن غوريون (مترجمه)
-,-,-,افرايم هليفي 
-,-,,إيهود أولمرت 
-,-,-,إيلي جيفا 
-,لبناني (مترجمه),-,إيلي حبيقة 
-,-,-,فادي أفرام 
-,فلسطينيون ,حركة الجهاد الإسلامي في فلسطين ,فتحي الشقاقي 
-,فلسطينيون ,,جورج حبش 
-,لبناني (مترجمه),"الحزب الشيوعي اللبناني ,الحاجة إلى اقتباس من حركة اليسار الديمقراطي (مترجمه),نوفمبر ",جورج حاوي 
-,-,,جولدا مائير 
-,-,,-1
-,فلسطينيون ,حركة حماس ,إسماعيل هنية 
-,-,-,عز الدين القسام (مترجمه)
-,فلسطين (توضيح) ,حركة فتح ,جبريل الرجوب 
-,فلسطينيون ,حركة حماس ,خالد مشعل 
-,-,-,-1
-,فلسطينيون ,-,-1
-,فلسطينيون ,حركة فتح ,-1
-,-,-,محمود دعاس (مترجمه)
-,-,-,محسوم كوركماز (مترجمه)
-,-,-,مئير داغان 
-,-,-,مناحم بيجن 
-,-,حركة فتح ,محمد دحلان 
-,فلسطينيون ,-,محمد الضيف 
-,-,-,مونتي ملكونيان (مترجمه)
-,-,-,موشيه آرنز 
-,-,-,موشيه دايان 
-,-,-,موشيه يعلون 
-,-,-,-1
-,سوريون ,"حزب البعث العربي الاشتراكي - إقليم سوريا التابع لحزب البعث العربي الاشتراكي (مترجمه),كان عضوا في حزب البعث الأصلي وفرعه الإقليمي السوري حتى (مترجمه)",مصطفى طلاس 
-,-,-,-1
-,أمريكي (مترجمه),-,-1
-,-,-,رفائيل إيتان (11 يناير 1929) 
-,فلسطينيون ,حركة الجهاد الإسلامي في فلسطين ,-1
-,-,,رونالد ريغان 
-,-,-,-1
-,فلسطينيون ,-,-1
-,-,حركة فتح ,صلاح خلف 
-,-,-,-1
-,لبناني (مترجمه),القوات اللبنانية ,سمير جعجع 
-,إسرائيل ,-,شبتاي شافيت 
-,-,-,شائول موفاز 
-,-,,شمعون بيريز 
-,-,-,خليل الوزير 
-,-,-,تسيبي ليفني 
-,-,-,وديع حداد 
-,-,-,يعقوب بيري 
-,-,-,يحيى عياش 
-,فلسطينيون ,حركة فتح ,-1
-,فلسطينيون ,حركة فتح ,-1
-,-,-,إسحاق مردخاي 
-,إسرائيلي (مترجمه),حزب العمل المواءمة (مترجمه),إسحاق رابين 
-,إسرائيلي (مترجمه),,إسحاق شامير 
-,إسرائيلي (مترجمه),-,يوفال ديسكين 
-,فلسطينيون ,حزب البعث العربي الاشتراكي ,-1
يهود ,إسرائيل ,-,تسفي زامير 
