اسم التقسيم,نوع التقسيم,الاسم
-,-,الدولة العباسية 
-,-,لبنان 
-,-,الدولة العباسية 
-,-,لبنان 
,بلد ,قضاء عكار 
"علم (راية) ,لبنان ",بلد ,عاليه (لبنان) 
-,-,الجزائر 
-,-,الأرجنتين 
-,-,العراق 
"بلد العلم (مترجمه),لبنان ",بلد ,بعبدا 
لبنان ,بلد ,بيروت 
-,-,بلغاريا 
-,-,كندا 
"علم (راية) ,لبنان ",بلد ,قضاء الشوف 
"علم (راية) ,لبنان ",بلد ,قضاء الشوف 
-,-,طرابلس 
سوريا ,بلد ,دمشق 
لبنان ,بلد ,بيروت 
-,-,مصر 
-,-,الدولة العباسية 
-,-,لبنان 
,بلد ,قضاء عكار 
"علم (راية) ,لبنان ",بلد ,عاليه (لبنان) 
-,-,الجزائر 
-,-,الأرجنتين 
-,-,العراق 
"بلد العلم (مترجمه),لبنان ",بلد ,بعبدا 
لبنان ,بلد ,بيروت 
-,-,بلغاريا 
-,-,كندا 
"علم (راية) ,لبنان ",بلد ,قضاء الشوف 
"علم (راية) ,لبنان ",بلد ,قضاء الشوف 
-,-,طرابلس 
سوريا ,بلد ,دمشق 
لبنان ,بلد ,بيروت 
-,-,مصر 
-,-,الدولة الفاطمية 
-,-,فرنسا 
-,-,جنوب لبنان 
-,-,الدولة الحمدانية 
"علم (راية) ,لبنان ",بلد ,حاصبيا 
"علم (راية) ,لبنان ",بلد ,الهرمل 
-,-,ليبيا 
-,-,حيثيون 
-,-,الدولة الإخشيدية 
-,-,إيران 
-,-,العراق 
-,-,إسرائيل 
-,-,إيطاليا 
-,-,الأردن 
-,-,مصر 
-,-,العراق 
-,-,القدس 
"علم (راية) ,لبنان ",بلد ,-1
-,-,الكويت 
-,-,لبنان 
-,-,ليبيا 
-,-,الدولة المملوكية 
,بلد ,مرجعيون 
"علم (راية) ,لبنان ",بلد ,لانغ (توضيح) 
-,-,مرداسيون 
-,-,المغرب 
-,-,إمارة جبل لبنان 
"بلد العلم (مترجمه),لبنان ",بلد ,النبطية 
-,-,المملكة المصرية الحديثة 
-,-,كوريا الشمالية 
-,-,الدولة العثمانية 
-,-,السلطة الوطنية الفلسطينية 
-,-,فينيقيون 
"علم (راية) ,لبنان ",بلد ,راشيا 
-,-,الخلفاء الراشدون 
السعودية ,بلد ,الرياض 
-,-,رومانيا 
-,-,إيران 
-,-,السعودية 
-,-,الجمهورية السورية (مترجمه)
-,-,الدولة السلجوقية 
لبنان ,بلد ,صيدا 
-,-,جمهورية اليمن الديمقراطية الشعبية 
-,-,الاتحاد السوفيتي 
-,-,السودان 
-,-,سوريا 
,بلد ,الطائف 
-,بلد ,طرابلس 
-,-,السلالة الطولونية 
-,-,الدولة الأموية 
-,-,الإمارات العربية المتحدة 
-,-,الجمهورية العربية المتحدة 
-,-,المملكة المتحدة 
-,-,الولايات المتحدة 
-,-,فرنسا الفيشية 
لبنان ,بلد ,بيروت 
-,-,اليمن 
"علم (راية) ,لبنان ",بلد ,زحلة 
,بلد ,زغرتا 
,بلد ,زغرتا 
