الدين,الجنسيه,الحزب السياسي,الاسم
الشيعة ,لبناني (مترجمه),-,-1
-,فلسطينيون ,-,-1
-,-,-,ألفرد إم. غراي جونيور 
-,-,الحزب العربي الديمقراطي (مترجمه),-1
-,لبناني (مترجمه),حزب الكتائب اللبنانية ,أمين الجميل 
-,لبناني (مترجمه),حزب الكتائب اللبنانية ,أمين الجميل 
-,-,-,أنطوان لحد 
-,إيراني (مترجمه),-,-1
-,لبناني (مترجمه),-,-1
-,-,قائمة عادية (مترجمه),أرئيل شارون 
-,-,حزب الكتائب اللبنانية ,بشير الجميل 
-,-,مستقل (توضيح) ,رينيه معوض 
-,-,,عاصم قانصوه 
-,إيراني (مترجمه),-,روح الله الخميني 
-,-,حزب الكتائب اللبنانية ,بشير الجميل 
-,-,حزب الكتائب اللبنانية ,بشير الجميل 
-,-,"الكتلة الدستورية (مترجمه),الحزب الوطني الليبرالي (مترجمه)",كميل شمعون 
-,إسرائيلي (مترجمه),,حاييم هرتصوغ 
-,-,قائمة بدون تعداد نقطي (مترجمه),كريستوفر مايهيو (مترجمه)
-,-,الحزب الوطني الليبرالي (مترجمه),داني شمعون 
-,لبناني (مترجمه),مستقل (توضيح) ,إلياس الهراوي 
-,لبناني (مترجمه),,إلياس سركيس 
-,لبناني (مترجمه),-,إيلي حبيقة 
-,-,-,إيمانويل أرسكين 
-,لبناني (مترجمه),حراس الأرز ,إتيان صقر 
-,إيراني (مترجمه),جمعية الموالين للثورة الإسلامية ,فريدون عباسي دوائي 
-,-,-,روبرت فيسك 
-,-,مستقل (توضيح) ,فؤاد شهاب 
-,مصرية (مترجمه),الاتحاد الاشتراكي العربي (توضيح) ,-1
-,-,التيار الوطني الحر ,ميشال عون 
-,فلسطينيون ,,جورج حبش 
-,لبناني (مترجمه),"الحاجة إلى اقتباس حركة اليسار الديمقراطي (مترجمه),2016 ,الحزب الشيوعي اللبناني ",جورج حاوي 
-,-,-,جوستاف هاجلوند (مترجمه)
-,لبناني (مترجمه),-,-1
-,-,,-1
-,-,,-1
-,أرميني (مترجمه),-,هاكوب هاكوبيان (حرب العصابات) (مترجمه)
-,أرميني (مترجمه),-,هاكوب هاكوبيان (متشدد) (مترجمه)
أهل السنة والجماعة ,-,-,الحسين بن طلال 
-,-,-,جيم موير (مترجمه)
-,-,-,جوان هادجيثوماس (مترجمه)
-,لبناني (مترجمه),الحزب التقدمي الاشتراكي ,كمال جنبلاط 
-,-,-,-1
-,-,-,لينا المر نعمة 
-,لبناني (مترجمه),التنظيم الشعبي الناصري في لبنان ,-1
-,-,-,محسوم كوركماز (مترجمه)
-,-,-,مجيد شهرياري 
-,أمريكي (مترجمه),-,مالكولم هوبر كير 
-,أمريكي (مترجمه),-,مارسيا سي إنهورن 
-,إيراني (مترجمه),-,-1
-,-,-,مناحم بيجن 
-,-,التيار الوطني الحر ,ميشال عون 
الإسلام الشيعي الإثني عشري (مترجمه),-,-,-1
-,إيراني (مترجمه),-,محسن فخري زاده 
-,-,-,مونتي ملكونيان (مترجمه)
-,-,-,-1
-,سوريون ,"كان عضوا في حزب البعث الأصلي وفرعه الإقليمي السوري حتى عام 1966 (مترجمه),حزب البعث العربي الاشتراكي - منطقة سوريا التابعة لحزب البعث العربي الاشتراكي (مترجمه)",مصطفى طلاس 
-,لبناني (مترجمه),حركة أمل ,نبيه بري 
-,أمريكي (مترجمه),-,نبيل قانصوه 
-,-,-,نعوم تشومسكي 
-,لبناني (مترجمه),تيار الكرامة ,عمر كرامي 
-,أمريكي (مترجمه),-,-1
-,لبناني (مترجمه),حزب الكتائب اللبنانية ,بيار الجميل 
-,-,-,إيتامار رابينوفيتش 
-,لبناني (مترجمه),"مرتبط (مترجمه),الحركة الوطنية اللبنانية خلال الحرب الأهلية اللبنانية. (مترجمه),مستقل (توضيح) ",-1
-,-,-,رفائيل إيتان (11 يناير 1929) 
-,لبناني و سعودي (مترجمه),تيار المستقبل ,رفيق الحريري 
-,بريطاني (مترجمه),-,راجح عمر 
-,لبناني (مترجمه),"مرتبط (مترجمه),الحركة الوطنية اللبنانية خلال الحرب الأهلية اللبنانية. (مترجمه),مستقل (توضيح) ",رشيد كرامي 
-,-,مستقل (توضيح) ,رينيه معوض 
-,-,مستقل (توضيح) ,رينيه معوض 
-,أمريكي / كندي (مترجمه),-,روبرت مونش (مترجمه)
-,-,,رونالد ريغان 
-,-,-,-1
-,-,"الجبهة الوطنية التقدمية (مترجمه),قائمة عادية (مترجمه)",-1
-,لبناني (مترجمه),-,كمال الصليبي 
-,لبناني (مترجمه),القوات اللبنانية ,سمير جعجع 
-,-,-,سليم الحص 
-,-,-,-1
-,لبناني (مترجمه),مستقل (توضيح) ,شفيق الوزان 
-,إسرائيلي (مترجمه),-,شلومو أرجوف 
-,لبناني (مترجمه),-,سهى بشارة 
-,لبناني (مترجمه),-,صبحي الطفيلي 
-,-,تيار المردة ,سليمان فرنجية 
-,لبناني (مترجمه),جيش التحرير الزغرتاوي ,طوني فرنجية 
-,-,-,خليل الوزير 
-,-,الحزب التقدمي الاشتراكي ,وليد جنبلاط 
-,-,-,وليام أوكالاجان (ضابط بالجيش الأيرلندي) (مترجمه)
-,فلسطينيون ,حركة فتح ,-1
-,فلسطينيون ,حركة فتح ,-1
-,إسرائيلي (مترجمه),تراصف ,إسحاق نافون 
-,-,مستقل (توضيح) ,إميل لحود 
