Name,Ideology,Political Position,Founder(s)
Fatah – The Revolutionary Council,"Secularism,Anti-Zionism,Palestinian nationalism",-,
Katāib Shuhadā al-Aqṣā,"Socialism,Anti-Zionism,Palestinian nationalism",-,
,"Arab nationalism,Anti-imperialism,Arab socialism,Pan-Arabism,Nasserism",Left-wing,
,"Arab nationalism,Anti-imperialism,Arab socialism,Pan-Arabism,Nasserism",Left-wing,
Amal Movement,"Populism,Conservatism",Centre-right,"Nabih Berri,Musa al-Sadr,Hussein el-Husseini,"
Amal Movement,"Populism,Conservatism",Centre-right,"Nabih Berri,Musa al-Sadr,Hussein el-Husseini,"
Arab Democratic Party,"Arab nationalism,Pan-Syrianism,Baathism",Left-wing,
جيش الإنقاذ العربي Nobold,"Arab nationalism,Pan-Arabism,Anti-Zionism",-,
Arab Liberation Front,"Neo-Baathism,Baathism,Saddamism,Palestinian nationalism",-,
Arab Socialist Baath Party – Lebanon Region,Baathism,-,
Tashnag,"Democratic socialism,United Armenia,Armenian nationalism",Left-wing,
جَيش الإسلام,"Sunni Islamism,Jihadism,Salafism",-,
Army of the Holy War,Anti-Zionism,-,
As-Saiqa,"Pan-Arabism,Baathism",-,
Black September Organization,"Palestinian nationalism, anti-Zionism",-,
Communist Action Organization in Lebanon,"Marxism–Leninism,Communism,Socialism",Left-wing,
Armenian Revolutionary Federation,"ubl,Armenian nationalism,Anti-communism,December 2020,United Armenia,Social market economy,Revolutionary socialism,December 2020 c,failed verification,Pro-Russian,Democratic socialism",Centre-left,"• Simon Zavarian,• Stepan Zorian,• Christapor Mikaelian,"
Democratic Front for the Liberation of Palestine,"ubl,Marxism–Leninism,Communism,Left-wing nationalism,Palestinian nationalism,Anti-Zionism",Far-left,
Fatah,"Social democracy,Secularism,Palestinian nationalism","Centre-left,left-wing","Mahmoud Aloul,"
Guardians of the Cedars,"Ultranationalism,Lebanese nationalism,Phoenicianism,Social conservatism,Anti-Palestinian,Anti-Arabism",-,
Hamas,"66-67 * Islamism sfn,66-67 sfn,Dalacoura,465 sfn,156–57 sfn,Antisemitism sfn,156–57,Stepanova,Islamism,270 * Religious nationalism sfn,Dunning,Religious nationalism,plainlist,pp,sfn,Anti-Zionism,156–57 * Anti-Zionism,151–52 sfn,Litvak,Antisemitism,Palestinian nationalism,Cheema,151–52,465 efn,113 efn,66-67,efn",-,"Ismail Haniyeh,Mousa Abu Marzouq and Khaled Mashal sfn,Levitt,"
Hezbollah,"Anti-West,Antisemitism,Pan-Islamism,Shia Jihad,Anti-imperialism,Islamic nationalism,Unbulleted list,Anti-Zionism,Khomeinism",-,"Sayyed Hassan Nasrallah,"
lang,"Islamism,Palestinian nationalism,Jihadism,Islamic nationalism,Anti-Zionism",-,
Islamic Unification Movement,Islamism,-,
Japanese Red Army,"Marxism–Leninism,Communism,Anti-imperialism",-,
,Armenian nationalism,-,
Lebanese Kataeb Party,"Anti-communism,Lebanese nationalism,Falangism,Maronite politics,Christian democracy,Social conservatism","Right-wing,far-right,Centre-right","Samy Gemayel,Pierre Gemayel,"
