Name,Political Party,Nationality,Cause of Death,Occupation,Profession,Religion,Birth Date,Birth Place,Death Date,Death Place,Relegion
"('Abbas al-Moussawi',)",-,Lebanese,Assassination,Cleric,-,,,"Al-Nabi Shayth, Lebanon",,"Nabatieh Governorate, Lebanon",Shia Islam
"('Abu Nidal',)",-,Palestinian,-,-,-,,May 1937,"Jaffa, Mandatory Palestine",,"Baghdad, Baathist Iraq",-
"('Alfred M. Gray Jr.',)",-,-,-,-,-,,,"Rahway, New Jersey",-,-,-
"('Ali Eid',)",Arab Democratic Party,-,-,-,Politician,,,"Tripoli, Lebanon",,"Damascus, Syria",-
"('Amine Gemayel',)",Kataeb Party,Lebanese,-,-,-,,,"Bikfaya, Greater Lebanon",-,-,-
"('Amine Gemayel',)",Kataeb Party,Lebanese,-,-,-,,,"Bikfaya, Greater Lebanon",-,-,-
"('Antoine Lahad',)",-,-,-,-,-,,,"Kfar Qatra, Lebanon",,"Paris, France",-
"('Ardeshir Hosseinpour',)",-,Iranian,-,-,-,,1962,Tehran,15 January 2007 (aged 44-45),Isfahan,-
"('A El Rayess',)",-,Lebanese,-,-,-,,,"Aley, Mount Lebanon",,-,-
"('-',)","Likud (1977–2005) * Kadima (2005–2014),Shlomtzion (1977),Likud (1977–2005),Liberal (1973–1974)",-,-,-,Military officer,,,"Kfar Malal, Mandatory Palestine",,"Ramat Gan, Israel",-
"('Bachir Gemayel',)",Kataeb Party,-,-,Lawyer,-,,,"Achrafieh, Beirut, Lebanon",,"Achrafieh, Beirut, Lebanon",-
"('René Moawad<Br/>',)",Independent,-,-,-,"Lawyer, politician",,17 April 1925,"Zgharta, Lebanon",22 November 1989 (aged 64),"Beirut, Lebanon",-
"('Assem Qanso',)","Syria-based Baath Party (Lebanon branch: 1966–present),Arab Socialist Baath Party (1953–1966)",-,-,-,-,,,"Baalbek, French Lebanon",-,-,-
"('Ruhollah Khomeini',)",-,Iranian,-,-,-,,,"Khomeyn, Sublime State of Persia",,"Tehran, Iran",-
"('Bachir Gemayel',)",Kataeb Party,-,-,Lawyer,-,,,"Achrafieh, Beirut, Lebanon",,"Achrafieh, Beirut, Lebanon",-
"('Bachir Gemayel',)",Kataeb Party,-,-,Lawyer,-,,,"Achrafieh, Beirut, Lebanon",,"Achrafieh, Beirut, Lebanon",-
"('Camille Chamoun',)","Constitutional Bloc,National Liberal Party",-,-,-,-,,,"Deir el Qamar, Ottoman Empire",,"Beirut, Lebanon",-
"('-',)",Alignment (1981–91),Israeli,-,-,-,,,"Belfast, Ireland, UK",,"Tel Aviv, Israel",-
"('Christopher Paget Mayhew',)",,-,-,-,-,,,-,,-,-
"('Dany Chamoun',)",National Liberal Party,-,-,-,-,,,"Deir el Qamar, Lebanon",,"Beirut, Lebanon",-
"('Elias Hrawi,الياس الهراوي',)",Independent,Lebanese,-,-,"Businessman, lawyer, politician",,,"Zahlé, Greater Lebanon",,"Beirut, Lebanon",-
"('إلياس سركيس,Élias Sarkis',)",Chehabist,Lebanese,-,-,Lawyer,,,"Chebanieh, Lebanon",,"Paris, France",-
"('Elie Hobeika',)",-,Lebanese,-,-,-,,22 September 1956,"Baskinta, Lebanon",,"Beirut, Lebanon",-
"('Emmanuel Erskine',)",-,-,-,-,-,,,"Kumasi, Ghana",,-,-
"('Étienne Saqr',)",Guardians of the Cedars,Lebanese,-,-,-,,,"Ain Ebel, Greater Lebanon",-,-,-
"('Fereydoon Abbasi Davani',)",Association of Islamic Revolution Loyalists,Iranian,-,-,-,,,"Abadan, Imperial State of Iran",-,-,-
