word,avg. stability,max stability,min stability
الولايات المتحده الاميركيه,0.14385088248547323,0.3005389764806453,-0.008837012123471462
اميركا,0.1348355160969533,0.31221247643357436,-0.01782239919209541
اسرائيل,0.21181555640339356,0.3241232981301888,-0.020597349615370426
فلسطيني,0.1929702214680664,0.39699742021961487,-0.0034455986751055732
حزب الله,0.14529435505638316,0.3017816733703036,-0.014600965577405228
المقاومه,0.13045691075551633,0.2987429954221373,-0.09811928204189617
سوري,0.09867989139588573,0.24834272056431964,-0.0676828923241244
منظمه التحرير الفلسطينيه,0.1589492850472704,0.31740840608160614,-0.013041220693139363
ايران,0.05747169784841639,0.2429252503058814,-0.07343775843244589
السعوديه,0.0938717855664879,0.29745226166837485,-0.05006480090806624
