0.1,0.2,0.3,0.4,0.5,gonen,nahar_1982
وعليحسين,وعليحسين,وعليحسين,وعليحسين,وعليحسين,وعليحسين
وعبدا,وعبدا,وعبدا,وعبدا,وعبدا,وعبدا
للعقيد,للعقيد,للعقيد,للعقيد,للعقيد,للعقيد
عبديني,عبديني,عبديني,عبديني,عبديني,عبديني
بجبران,بجبران,بجبران,بجبران,بجبران,بجبران
بعبده,بعبده,بعبده,بعبده,بعبده,بعبده
ءلاساجيس,ءلاساجيس,ءلاساجيس,ءلاساجيس,ءلاساجيس,ءلاساجيس
عليالخليل,عليالخليل,عليالخليل,عليالخليل,عليالخليل,عليالخليل
حسينالحسيني,جاءفيد,جاءفيد,جاءفيد,جاءفيد,جاءفيد
ابراء,حسينالحسيني,حسينالحسيني,حسينالحسيني,حسينالحسيني,حسينالحسيني
,,,,
,,,,
0.1,0.2,0.3,0.4,0.5,gonen,nahar_1983
خوريان,نعمان,نعمان,نعمان,نعمان,نعمان
سلمان,خوريان,خوريان,خوريان,خوريان,خوريان
قطران,سلمان,سلمان,سلمان,سلمان,سلمان
لجبران,كمان,كمان,كمان,كمان,كمان
شومان,قطران,قطران,قطران,قطران,قطران
خيرالله,برلمان,برلمان,برلمان,برلمان,برلمان
سممان,ابمان,ابمان,ابمان,ابمان,ابمان
طران,لجبران,لجبران,لجبران,لجبران,لجبران
عليالخليل,كران,كران,كران,كران,كران
عبني,شومان,شومان,شومان,شومان,شومان
,,,,
,,,,
0.1,0.2,0.3,0.4,0.5,gonen,nahar_1984
عمان,عمان,عمان,عمان,عمان,عمان
لعمان,لعمان,لعمان,لعمان,لعمان,لعمان
وعثمان,عصامنعمان,عصامنعمان,عصامنعمان,عصامنعمان,عصامنعمان
واميلي,وعثمان,وعثمان,وعثمان,وعثمان,وعثمان
حسينان,واميلي,واميلي,واميلي,واميلي,واميلي
اجيد,خلي,خلي,خلي,خلي,خلي
جمي,حسينان,حسينان,حسينان,حسينان,حسينان
وفيد,هيد,هيد,هيد,هيد,هيد
حفيد,ذويد,ذويد,ذويد,ذويد,ذويد
وعليالخليل,اجيد,اجيد,اجيد,اجيد,اجيد
,,,,
,,,,
0.1,0.2,0.3,0.4,0.5,gonen,nahar_1985
صيداالمهندس,علاءالدين,علاءالدين,علاءالدين,علاءالدين,علاءالدين
مجلدين,سليمجلال,سليمجلال,سليمجلال,سليمجلال,سليمجلال
صيد,وعبدالمجيد,وعبدالمجيد,وعبدالمجيد,وعبدالمجيد,وعبدالمجيد
حزبالله,صيداالمهندس,صيداالمهندس,صيداالمهندس,صيداالمهندس,صيداالمهندس
ثمين,مجلدين,مجلدين,مجلدين,مجلدين,مجلدين
عاماعلي,صيد,صيد,صيد,صيد,صيد
للعميد,عبدالمولي,عبدالمولي,عبدالمولي,عبدالمولي,عبدالمولي
كراميالي,حزبالله,حزبالله,حزبالله,حزبالله,حزبالله
كمين,ثمين,ثمين,ثمين,ثمين,ثمين
همين,عاماعلي,عاماعلي,عاماعلي,عاماعلي,عاماعلي
,,,,
,,,,
0.1,0.2,0.3,0.4,0.5,gonen,nahar_1986
,عبداللهسعاده,عبدالمجيد,عبدالمجيد,عبدالمجيد,عبدالمجيد
,للمهندس,عبداللهسعاده,عبداللهسعاده,عبداللهسعاده,عبداللهسعاده
,للدكتوره,عليالحسيني,عليالحسيني,عليالحسيني,عليالحسيني
,اسيد,صيداالنائب,صيداالنائب,صيداالنائب,صيداالنائب
,بيروتالمحامي,املالمحامي,املالمحامي,املالمحامي,املالمحامي
,ووزيرالمال,عددالمحامين,عددالمحامين,عددالمحامين,عددالمحامين
,حزبالله,نقيبالمحامين,نقيبالمحامين,نقيبالمحامين,نقيبالمحامين
,سليمانالعلي,حسينقبلان,حسينقبلان,حسينقبلان,حسينقبلان
,للشيخ,امامالمحامين,امامالمحامين,امامالمحامين,امامالمحامين
,صيد,ونقيبالمحامين,ونقيبالمحامين,ونقيبالمحامين,ونقيبالمحامين
,,,,
,,,,
0.1,0.2,0.3,0.4,0.5,gonen,nahar_1987
راسالحسيني,ختامي,عبداللهسعاده,عبداللهسعاده,عبداللهسعاده,عبداللهسعاده
حمامين,بمدير,ختامي,ختامي,ختامي,ختامي
اتصلبالحسيني,اسيد,بمدير,بمدير,بمدير,بمدير
للدكتوره,مزبوديالشيخ,وتكلمالشيخ,وتكلمالشيخ,وتكلمالشيخ,وتكلمالشيخ
وغزير,للمحامين,وغابالنائب,وغابالنائب,وغابالنائب,وغابالنائب
بالوكالهالمهندس,عليالحسيني,اسيد,اسيد,اسيد,اسيد
عاملالشيخ,برئاسهالمهندس,مزبوديالشيخ,مزبوديالشيخ,مزبوديالشيخ,مزبوديالشيخ
,تظدير,نقيبالمحامين,نقيبالمحامين,نقيبالمحامين,نقيبالمحامين
,املالمحامي,ونقيبالمحامين,ونقيبالمحامين,ونقيبالمحامين,ونقيبالمحامين
,راسالحسيني,سماحهالشيخ,سماحهالشيخ,سماحهالشيخ,سماحهالشيخ
,,,,
,,,,
0.1,0.2,0.3,0.4,0.5,gonen,nahar_1988
دير,عليالحسيني,عليالحسيني,عليالحسيني,عليالحسيني,عليالحسيني
امينالجميل,جبيلالشيخ,جبيلالشيخ,جبيلالشيخ,جبيلالشيخ,جبيلالشيخ
امينالجميلء,جودهمدير,جودهمدير,جودهمدير,جودهمدير,جودهمدير
وركئيس,رامين,رامين,رامين,رامين,رامين
ردير,وزيد,وزيد,وزيد,وزيد,وزيد
خمير,دير,دير,دير,دير,دير
للحزبالمحامي,خلفاللسيد,خلفاللسيد,خلفاللسيد,خلفاللسيد,خلفاللسيد
شفير,شمسالدين,نامين,نامين,نامين,نامين
نظامي,بنجامين,شمسالدين,شمسالدين,شمسالدين,شمسالدين
ظهير,عامين,بنجامين,بنجامين,بنجامين,بنجامين
,,,,
,,,,
0.1,0.2,0.3,0.4,0.5,gonen,nahar_1989
بالوكالهالدكتور,بالوكالهالدكتور,بالوكالهالدكتور,بالوكالهالدكتور,بالوكالهالدكتور,بالوكالهالدكتور
لعميد,وسيد,وسيد,وسيد,وسيد,وسيد
للمحامي,لعميد,لعميد,لعميد,لعميد,لعميد
محمدسياد,للمحامي,للمحامي,للمحامي,للمحامي,للمحامي
شجيد,محمدسياد,محمدسياد,محمدسياد,محمدسياد,محمدسياد
لوزي,ختامي,ختامي,ختامي,ختامي,ختامي
مسامي,اؤيد,اؤيد,اؤيد,اؤيد,اؤيد
فلسطينالدكتور,املالمحامي,املالمحامي,املالمحامي,املالمحامي,املالمحامي
برئاسهالمهندس,للدكتوره,للدكتوره,للدكتوره,للدكتوره,للدكتوره
انالمحامي,نقيبالمحامين,نقيبالمحامين,نقيبالمحامين,نقيبالمحامين,نقيبالمحامين
,,,,
,,,,
0.1,0.2,0.3,0.4,0.5,gonen,nahar_1990
حسينان,حسينان,حسينان,حسينان,حسينان,حسينان
لحص,نائبان,نائبان,نائبان,نائبان,نائبان
للتسليم,شفير,شفير,شفير,شفير,شفير
عبدالوهاب,عفير,عفير,عفير,عفير,عفير
سعدالعبدالله,ففير,ففير,ففير,ففير,ففير
سلس,غائب,غائب,غائب,غائب,غائب
محمدشعلان,وسفير,وسفير,وسفير,وسفير,وسفير
صائب,عجائب,عجائب,عجائب,عجائب,عجائب
وسيد,لحص,لحص,لحص,لحص,لحص
اميم,نذير,نذير,نذير,نذير,نذير
,,,,
,,,,
0.1,0.2,0.3,0.4,0.5,gonen,nahar_1991
فالشيخ,فالشيخ,فالشيخ,فالشيخ,فالشيخ,فالشيخ
عبدالعليم,عبدالعليم,عبدالعليم,عبدالعليم,عبدالعليم,عبدالعليم
بوماامين,عبدالمحسن,عبدالمحسن,عبدالمحسن,عبدالمحسن,عبدالمحسن
تجسيد,بوماامين,بوماامين,بوماامين,بوماامين,بوماامين
محمي,تجسيد,تجسيد,تجسيد,تجسيد,تجسيد
حسينقبلان,محمي,محمي,محمي,محمي,محمي
وساميالخطيب,حسينقبلان,حسينقبلان,حسينقبلان,حسينقبلان,حسينقبلان
هاشمالحسيني,عبدالمجيد,عبدالمجيد,عبدالمجيد,عبدالمجيد,عبدالمجيد
بيضونء,وساميالخطيب,وساميالخطيب,وساميالخطيب,وساميالخطيب,وساميالخطيب
عبدالتور,هاشمالحسيني,هاشمالحسيني,هاشمالحسيني,هاشمالحسيني,هاشمالحسيني
,,,,
,,,,
0.1,0.2,0.3,0.4,0.5,gonen,nahar_1992
عماد,بسيد,بسيد,بسيد,بسيد,بسيد
ورشيد,سعادهسفير,سعادهسفير,سعادهسفير,سعادهسفير,سعادهسفير
وعمركرامي,محمدخير,محمدخير,محمدخير,محمدخير,محمدخير
صفير,اندكتور,اندكتور,اندكتور,اندكتور,اندكتور
محمي,احمدكرامي,احمدكرامي,احمدكرامي,احمدكرامي,احمدكرامي
زيدخيامي,غائب,محمدعلي,محمدعلي,محمدعلي,محمدعلي
وشامي,محمدالخطيب,غائب,غائب,غائب,غائب
اميم,نائبي,محمدالخطيب,محمدالخطيب,محمدالخطيب,محمدالخطيب
حماد,تخسامي,نائبي,نائبي,نائبي,نائبي
مخسامي,عماد,محمدصالح,محمدصالح,محمدصالح,محمدصالح
,,,,
,,,,
0.1,0.2,0.3,0.4,0.5,gonen,nahar_1993
كليد,حيالشيخ,عبدالحق,عبدالحق,عبدالحق,عبدالحق
وحليم,عبدالحليمخدام,حيالشيخ,حيالشيخ,حيالشيخ,حيالشيخ
كلمهشكر,رزقالله,اندكتور,اندكتور,اندكتور,اندكتور
ظليم,عبدالقادر,عبدالحليمخدام,عبدالحليمخدام,عبدالحليمخدام,عبدالحليمخدام
كرامي,عليهفيكتور,رزقالله,رزقالله,رزقالله,رزقالله
عليهااميلي,اميننخله,عبدالقادر,عبدالقادر,عبدالقادر,عبدالقادر
اسليم,حسير,عليهفيكتور,عليهفيكتور,عليهفيكتور,عليهفيكتور
رامي,شامي,حسنعزالدين,حسنعزالدين,حسنعزالدين,حسنعزالدين
,عبدالتور,اميننخله,اميننخله,اميننخله,اميننخله
,اسيد,حسير,حسير,حسير,حسير
,,,,
,,,,
0.1,0.2,0.3,0.4,0.5,gonen,nahar_1994
ابوشامين,عبدالحفيظ,وعليعبدالله,وعليعبدالله,وعليعبدالله,وعليعبدالله
ثنامي,محمدمهدي,عبدالحفيظ,عبدالحفيظ,عبدالحفيظ,عبدالحفيظ
ابرميمامين,محمدممدي,محمدمهدي,محمدمهدي,محمدمهدي,محمدمهدي
مكتور,محمدي,محمدممدي,محمدممدي,محمدممدي,محمدممدي
,حمادهعبد,محمدياغي,محمدياغي,محمدياغي,محمدياغي
,كلمه',محمدي,محمدي,محمدي,محمدي
,رزقالله,حمادهعبد,حمادهعبد,حمادهعبد,حمادهعبد
,شامي,كلمه',كلمه',كلمه',كلمه'
,وابرهيم,عليعبد,عليعبد,عليعبد,عليعبد
,كانالدكتور,محمدصالح,محمدصالح,محمدصالح,محمدصالح
,,,,
,,,,
0.1,0.2,0.3,0.4,0.5,gonen,nahar_1995
فالسيد,حس,محمدياغي,محمدياغي,محمدياغي,محمدياغي
,رزقالله,محمدان,محمدان,محمدان,محمدان
,انالدكتور,محمدمحيدلي,محمدمحيدلي,محمدمحيدلي,محمدمحيدلي
,جلمد,محمدسعيد,محمدسعيد,محمدسعيد,محمدسعيد
,فالسيد,شؤاد,شؤاد,شؤاد,شؤاد
,كلمه',محمدكاظم,محمدكاظم,محمدكاظم,محمدكاظم
,,حسنعز,حسنعز,حسنعز,حسنعز
,,محمدمهدي,محمدمهدي,محمدمهدي,محمدمهدي
,,محمدصالح,محمدصالح,محمدصالح,محمدصالح
,,احمدعلي,احمدعلي,احمدعلي,احمدعلي
,,,,
,,,,
0.1,0.2,0.3,0.4,0.5,gonen,nahar_1996
حماسالشيخ,قالله,قالله,قالله,قالله,قالله
وليد,جميد,جميد,جميد,جميد,جميد
وعبير,ورزقالله,عبيد,عبيد,عبيد,عبيد
وعمان,عليد,ورزقالله,ورزقالله,ورزقالله,ورزقالله
حمامين,احمدعلي,عليد,عليد,عليد,عليد
وحسني,محاميان,نبيد,نبيد,نبيد,نبيد
جماد,حماسالشيخ,احمدعلي,احمدعلي,احمدعلي,احمدعلي
عليصفوان,سليمالحص,محاميان,محاميان,محاميان,محاميان
كلمهان,”وان,حماسالشيخ,حماسالشيخ,حماسالشيخ,حماسالشيخ
كليمان,وريد,وعيد,وعيد,وعيد,وعيد
,,,,
,,,,
0.1,0.2,0.3,0.4,0.5,gonen,nahar_1997
حماسالشيخ,عبيد,عبدالحق,محمدسعيد,محمدسعيد,محمدسعيد
عبيدء,عبي,محمدصالح,عبدالحق,عبدالحق,عبدالحق
شرمالشيخ,حماسالشيخ,محمدمراد,محمدصالح,محمدصالح,محمدصالح
,عبيدء,عبيد,محمدخير,محمدخير,محمدخير
,شرمالشيخ,محمدعبيد,محمدمراد,محمدمراد,محمدمراد
,خلي,محمدمحيدلي,محمدذوق,محمدذوق,محمدذوق
,,محمدممدي,انالدكتور,انالدكتور,انالدكتور
,,احمدكرامي,محمدشطح,محمدشطح,محمدشطح
,,عبديد,عبيد,عبيد,عبيد
,,عليعبد,حسينوعلي,حسينوعلي,حسينوعلي
,,,,
,,,,
